StrCode	Str
6178	<COLOR=FFE36C0A>[Quest End-Priest Orayades]<RETURN=1/></COLOR>Excellent. May the Goddess of Fire bless you...
6180	A worthy warrior of the Liberators should be able to pass the trial.
6181	<COLOR=FFE36C0A>[Quest End-Priest Naffayas]<RETURN=1/></COLOR>Are you sure? Is you heart true?
6182	<COLOR=FFE36C0A>[Quest Start-Priest Naffayas]<RETURN=1/></COLOR>To pass the trial of wind, you must complete the tasks I give.<RETURN=1/>Do as I say and bring back the proof. Only then will I recognize you as the conqueror of the trial <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain the following items.<RETURN=1/><ITEMNAME=40582/>/*Master's Insignia*/<RETURN=1/><ITEMNAME=40583/>/*Conqueror of Earth*/
6183	A worthy warrior of the Liberators should be able to pass the trial.
6184	<COLOR=FFE36C0A>[Quest End-Priest Naffayas]<RETURN=1/></COLOR>Excellent. May the Goddesss of Wind bless you..
6185	<COLOR=FFE36C0A>[Quest Start-Priest Naffayas]<RETURN=1/></COLOR>Eliminate <NPCNAME=41027/>/*Kalbus*/ on top of the trial of wind.<RETURN=1/>Can you take this challenge? The trial of wind is harsh. It's not too late to give up.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=41027/>/*Kalbus*/.
6186	A worthy warrior of the Liberators should be able to pass the trial.
6187	<COLOR=FFE36C0A>[Quest End-Priest Naffayas]<RETURN=1/></COLOR>Excellent. May the Goddess of Fire bless you...
6189	A worthy warrior of the Liberators should be able to pass the trial.
6190	<COLOR=FFE36C0A>[Quest End-Pirest Naffayas]<RETURN=1/></COLOR>Excellent. May the Goddesss of Wind bless you..
6191	<COLOR=FFE36C0A>[Quest Strat- Priest Nereide]<RETURN=1/></COLOR>My name is <NPCNAME=65261/>/*Nereide*/.<RETURN=1/>I am a priest in charge of the trial of darkness.<RETURN=1/>A worthy warrior of Libertaion Army should be able to pass the trial.<RETURN=1/>Come back to me whenver you're ready for the trial・<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65261/>/*Nereide*/.
6192	A worthy warrior of the Liberators should be able to pass the trial.
6193	<COLOR=FFE36C0A>[Quest End-Priest Nereide]<RETURN=1/></COLOR>Are you sure? Is your heart true?
6194	<COLOR=FFE36C0A>[Quest Start-Priest Nereide]<RETURN=1/></COLOR>To pass the trial of darkness, you must complete the tasks I give.<RETURN=1/>Do as I say and bring back the proof. Only then will I recognize you as the conqueror of the trial. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain 2 <ITEMNAME=40584/>/*Insignia of Darkenss*/.
6195	A worthy warrior of the Liberators should be able to pass the trial.
6196	<COLOR=FFE36C0A>[Quest End-Priest Nereide]<RETURN=1/></COLOR>Excellent. May the Goddess of Darkness bless you...
6197	<COLOR=FFE36C0A>[Quest Start-Priest Nereide]<RETURN=1/></COLOR>Eliminate <NPCNAME=6503/>/*Berserker*/ on top of the trial of darkness.<RETURN=1/>Can you take this challenge? Despair is the name of the trial... It's not too late to give up.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=6503/>/*Berserker*/.
6198	A worthy warrior of the Liberators should be able to pass the trial.
6199	<COLOR=FFE36C0A>[Quest End-Priest Nereide]<RETURN=1/></COLOR>Excellent. May the Goddess of Darkness bless you...
6200	<COLOR=FFE36C0A>[Quest Start-Priest Nereide]<RETURN=1/></COLOR>Eliminate <NPCNAME=6503/>/*Berserker*/ on top of the trial of darkness.<RETURN=1/>But, you must complete this task in 90 minutes. Can you take this challenge? Nothing but despair awaits you... It's not too late to give up.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=6503/>/*Berserker*/ of the trial of darkness in 90 minutes.
6201	A worthy warrior of the Liberators should be able to pass the trial.
6202	<COLOR=FFE36C0A>[Quest End-Priest Nereide]<RETURN=1/></COLOR>Excellent. May the Goddess of Darkness bless you...
1261	<COLOR=FFE36C0A>[Quest Start-Hanelone]<RETURN=1/></COLOR>This place is a maze. there are secret devices here and there... I just want to be done with this place as soon as possible. I hate this place. But a mission is a mission・ I can't run away from it...<RETURN=1/>Can you help me searching the area? <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Click the sealed statue and eliminate the following monsters.<RETURN=1/><NPCNAME=26774/>/*Manhunter*/<RETURN=1/><NPCNAME=26778/>/*Manhunter*/
1262	Please help me search the area. 
1263	<COLOR=FFE36C0A>[Quest End-Manhunter Hagen]<RETURN=1/></COLOR>We must move quickly. Speed is of the essence.
1264	<COLOR=FFE36C0A>[Quest Start-Manhunter Hagen]<RETURN=1/></COLOR>Our mission is to scout and chart out the underground sewers.<RETURN=1/>Join us in completing the mission. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Click the sealed statue and eliminate the following monsters.<RETURN=1/><NPCNAME=26779/>/*Manhunter*/<RETURN=1/><NPCNAME=26775/>/*Manhunter*/
1265	Please help me search the area. 
1266	<COLOR=FFE36C0A>[Quest End-Manhunter Halrey]<RETURN=1/></COLOR>We must move quickly. Speed is of the essence.
1267	<COLOR=FFE36C0A>[Quest Start-Manhunter Hagen]<RETURN=1/></COLOR>This place is a maze filled with secret devices. <RETURN=1/>As you probably know, our mission here is to scout and chart out the underground sewers.<RETURN=1/>And your mission is to help us. So back me up.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Click the sealed statue and eliminate the following monsters.<RETURN=1/><NPCNAME=32079/>/*Manhunter*/<RETURN=1/><NPCNAME=32078/>/*Manhunter*/
1268	Please help me search the area. 
1269	<COLOR=FFE36C0A>[Quest End-Manhunter Hessen]<RETURN=1/></COLOR>We must move quickly. Speed is of the essence.
1270	<COLOR=FFE36C0A>[Quest Start-Manhunter Hessen]<RETURN=1/></COLOR>We've covered a significant portion of the sewers with the information we acquired.<RETURN=1/>The others heard of our progression. They are trying to catch up with us.<RETURN=1/>Tell <NPCNAME=65235/>/*Holstein*/ to hurry as it seems we're in a race. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65235/>/*Holstein*/.
1271	We've covered a significant portion of the sewers with the information we acquired so far.
1272	<COLOR=FFE36C0A>[Quest End-Manhunter Holstein]<RETURN=1/></COLOR>I see. I will tell my men to hurry.
1273	<COLOR=FFE36C0A>[Quest Start-Manhunter Holstein]<RETURN=1/></COLOR>The mission is almost finished. We've collected a lot of information.<RETURN=1/>The map will be completed once we're done scouting this area. Keep up the good work.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Click the sealed statue and eliminate the following monsters.<RETURN=1/><NPCNAME=32081/>/*Manhunter*/<RETURN=1/><NPCNAME=32080/>/*Manhunter*/
1274	We've covered a significant portion of the sewers with the information we acquired so far.
1275	<COLOR=FFE36C0A>[Quest End-Manhunter Holstein]<RETURN=1/></COLOR>Good job. We've collected a lot of information.
1276	<COLOR=FFE36C0A>[Quest Start-Manhunter Holstein]<RETURN=1/></COLOR>I heard others' reports and it seems there is a shady figure in the area.<RETURN=1/>We don't know if the person is a Helron demon or an Etherain spy, but orders are orders. Eliminate the target immediately upon sight. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=38326/>/*Valter*/, and obtain <ITEMNAME=40554/>/*Head of Valter*/.
1277	I heard others' reports and it seems there is a shady figure in the area.
1279	<COLOR=FFE36C0A>[Quest Start-Inshilia Generis]<RETURN=1/></COLOR>We've lost contact with the forward unit. They vanished into thin air. <RETURN=1/>The doors are sealed again. We can't do anything.<RETURN=1/>You must consult <NPCNAME=65236/>/*Krakow*/ about this matter and find a solution.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65236/>/*Krakow*/.
1280	We've lost contact with the forward unit. They vanished into thin air.
1281	<COLOR=FFE36C0A>[Quest End-Manhunter Krakow]<RETURN=1/></COLOR>I've seen a suspicious shadow here. I better check it out.
1282	<COLOR=FFE36C0A>[Quest Start-Manhunter Krakow]<RETURN=1/></COLOR>Some <NPCNAME=32064/>/*Skeleton Mage*/ have sealed all the ramps. The door won't open until they're all dead. We must eliminate <NPCNAME=32064/>/*Skeleton Mage*/. Check out the door. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=32064/>/*Skeleton Mage*/.
1283	We must eliminate NPCNAME=32064/>/*Skeleton Mage*/.
1284	<COLOR=FFE36C0A>[Quest End-Manhunter Krefeld]<RETURN=1/></COLOR>The ramp here is sealed too.
1285	<COLOR=FFE36C0A>[Quest Start-Manhunter Krefeld]<RETURN=1/></COLOR>The ramp here is sealed too.<RETURN=1/>As <NPCNAME=65236/>/*Krakow*/ found out, there might be some <NPCNAME=32064/>/*Skeleton Mage*/ around here. Link up with <NPCNAME=65238/>/*Meintz*/ and take action.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65238/>/*Meintz*/.
1286	Link up with <NPCNAME=65238/>/*Meintz*/.
1287	<COLOR=FFE36C0A>[Quest End-Manhunter Meintz]<RETURN=1/></COLOR>Understood. I will search the vicinity.
1288	<COLOR=FFE36C0A>[Quest Start-Manhunter Meintz]<RETURN=1/></COLOR>I have scouted the area. There is a presence of a <NPCNAME=32065/>/*Skeleton Mage*/ inside the room. Search and destroy the mage upon sight.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=32065/>/*Skeleton Mage*/.
1289	Eliminate <NPCNAME=32065/>/*Skeleton Mage*/.
1290	<COLOR=FFE36C0A>[Quest End-Manhunter Krefeld]<RETURN=1/></COLOR>Good job. I have another mission for you.
1291	<COLOR=FFE36C0A>[Quest Start-Manhunter Krefeld]<RETURN=1/></COLOR>There remains only one <NPCNAME=32066/>/*Skeleton Mage*/ to be taken care of before the ramp is finally open.<RETURN=1/>Search around the <NPCNAME=63881/>/*Corpse of Imperial Spy*/. If you find the mage, destroy it immediately.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=32065/>/*Skeleton Mage*/.
1292	Search around the <NPCNAME=63881/>/*Corpse of Imperial Spy*/.
1293	<COLOR=FFE36C0A>[Quest End-Corpse of Imperial Spy]<RETURN=1/></COLOR>(It seems to be holding an object.)
1294	<COLOR=FFE36C0A>[Quest Start-Corpse of Imperial Spy]<RETURN=1/></COLOR>You found a letter on the corpse.<RETURN=1/>Although the letter is encrypted, you can read the intended receiver - Liberators manhunter unit.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Take <ITEMNAME=40555/>/*Letter of Imperial Spy*/ to <NPCNAME=65239/>/*Mitterand*/.
1295	You found a letter from the corpse.<RETURN=1/>Although the letter is encrypted, you can read the intended receiver - Liberators manhunter unit.
1296	<COLOR=FFE36C0A>[Quest End-Manhunter Mitterand]<RETURN=1/></COLOR>This letter is encrypted. I will send it to my superior.
1297	<COLOR=FFE36C0A>[Quest Start-Manhunter Mitterand]<RETURN=1/></COLOR>The ramp is open now, but there are other mages who are trying to lure us.<RETURN=1/>Find those mages and eliminate them. You can move on to the next area once they're properly dealt with. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=36541/>/*Mage of the Golden Hall*/.
1298	Find evil sorcerers and eliminate them.
1299	<COLOR=FFE36C0A>[Quest End-Manhunter Koblentz]<RETURN=1/></COLOR>Our mages sent to scout ahead were caught. We must free them.
1300	<COLOR=FFE36C0A>[Quest Start-Manhunter Koblentz]<RETURN=1/></COLOR>Our mages sent to scout ahead were caught. We must free them. <RETURN=1/>They are charmed and confused by the spells of evil sorcerers.<RETURN=1/>To rescue the mages, you must find and eliminate evil sorcerers in the rooms at the end of both wings.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters.<RETURN=1/><NPCNAME=36542/>/*Mage of the Golden Hall*/<RETURN=1/><NPCNAME=36543/>/*Mage of the Golden Hall*/
1301	Find evil sorcerers and eliminate them.
1302	<COLOR=FFE36C0A>[Quest End-Manhunter Koblentz]<RETURN=1/></COLOR>Superb job. It's time to advance.
1303	<COLOR=FFE36C0A>[Quest Start-Manhunter Koblentz]<RETURN=1/></COLOR>We can advance now. Link up with <NPCNAME=65240/>/*Remscheid*/ and continue your mission. Victory is within our grasp.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65240/>/*Remscheid*/.
1304	Find evil sorcerers and eliminate them.
1305	<COLOR=FFE36C0A>[Quest End-Manhunter Remscheid]<RETURN=1/></COLOR>Time to move on.
1306	<COLOR=FFE36C0A>[Quest Start-Manhunter Remscheid]<RETURN=1/></COLOR>Ahead of us is the evil witch <NPCNAME=38321/>/*Rosemary*/. She's a dread witch who has claimed many of our troops. You must eliminate <NPCNAME=38321/>/*Rosemary*/ without delay!<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=38321/>/*Rosemary*/, and obtain <ITEMNAME=40556/>/*Magic of Rosemary*/.
1307	Ahead of us is the evil witch <NPCNAME=38321/>/*Rosemary*/.
1309	<COLOR=FFE36C0A>[Quest Start-Manhunter Posen]<RETURN=1/></COLOR>It seems we've set foot on tough ground. Our troops are unable to find a safe path through here because of all the traps and maze-like corridors. We can advance only when we destroy <NPCNAME=34731/>/*Ghoul of Altar*/. Search the area, find <NPCNAME=34731/>/*Ghoul of Altar*/, and eliminate it. <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=34731/>/*Ghoul of Altar*/.
1310	Our troops are unable to find a safe path through here because of all the traps and maze-like corridors.
1311	<COLOR=FFE36C0A>[Quest End-Manhunter Faltz]<RETURN=1/></COLOR>You're awesome. Please keep helping us.
1312	<COLOR=FFE36C0A>[Quest Start-Manhunter Faltz]<RETURN=1/></COLOR>We must eliminate <NPCNAME=36531/>/*The Dead of Bone*/, who is the master of this place.<RETURN=1/><NPCNAME=36531/>/*The Dead of Bone*/ seems to be located in the middle of the seal, but it's difficult to to reach it as there are many monsters from other seals. Destroying <NPCNAME=36531/>/*The Dead of Bone*/ is our primary goal. Please support us.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=36531/>/*The Dead of Bone*/.
1313	We must find <NPCNAME=36531/>/*The Dead of Bone*/, the master of this place, and eliminate it.
1314	<COLOR=FFE36C0A>[Quest End-Manhunter Faltz]<RETURN=1/></COLOR>You're awesome. Please keep helping us.
1315	<COLOR=FFE36C0A>[Quest Start-Manhunter Faltz]<RETURN=1/></COLOR>The other areas are no different than here, I assume. What twisted mongrel would craft all these devices and torture us? Whew... You can leave us and help others in different areas.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65244/>/*Ruhr*/.
1316	Help others in different areas.
1317	<COLOR=FFE36C0A>[Quest End-Manhunter Ruhr]<RETURN=1/></COLOR>Thank you. You must help us.
1318	<COLOR=FFE36C0A>[Quest Start-Manhunter Ruhr]<RETURN=1/></COLOR>This place is ruled by <NPCNAME=36532/>/*The Dead of Blood*/. It's sitting in the center of the seal, but reaching it is difficult. We need your help to defeat <NPCNAME=36532/>/*The Dead of Blood*/.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=36532/>/*The Dead of Blood*/.
1319	We need your help to defeat <NPCNAME=36532/>/*The Dead of Blood*/.
1320	<COLOR=FFE36C0A>[Quest End-Manhunter Ruhr]<RETURN=1/></COLOR>You're awesome. Please keep helping us.
1321	<COLOR=FFE36C0A>[Quest Start-Manhunter Ruhr]<RETURN=1/></COLOR>I am afraid that the others are having the same problems. Please go find <NPCNAME=65245/>/*Gigen*/ and help him.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65245/>/*Gigen*/.
1322	Help others in different areas.
1323	<COLOR=FFE36C0A>[Quest End-Manhunter Gigen]<RETURN=1/></COLOR>Thank you. You must help us.
1324	<COLOR=FFE36C0A>[Quest Start-Manhuner Gigen]<RETURN=1/></COLOR>This place is ruled by <NPCNAME=36533/>/*The Dead of Flesh*/. It's sitting in the center of the seal, but reaching it is difficult. Please help us defeat <NPCNAME=36533/>/*The Dead of Flesh*/.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=36533/>/*The Dead of Flesh*/.
1325	This place is ruled by <NPCNAME=36533/>/*The Dead of Flesh*/.
1326	<COLOR=FFE36C0A>[Quest End-Manhunter Gigen]<RETURN=1/></COLOR>You did a tough job.
1327	<COLOR=FFE36C0A>[Quest Start-Manhunter Gigen]<RETURN=1/></COLOR>You must go find <NPCNAME=63758/>/*Eldin*/. <RETURN=1/>He is a descendant of the Siegel Knights and one of our most valuable supporters. Go find <NPCNAME=63758/>/*Eldin*/.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63758/>/*Eldin*/.
1328	You must go find <NPCNAME=63758/>/*Eldin*/. 
1329	<COLOR=FFE36C0A>[Quest End-Knight Eldin]<RETURN=1/></COLOR>The Siegel Knights still prevail.
1330	<COLOR=FFE36C0A>[Quest Start-Knight Eldin]<RETURN=1/></COLOR>Please find <ITEMNAME=40557/>/*Skeleton of Seal 1*/.<RETURN=1/>Many Siegel Knights had perished here a long time ago. Four of our masters fought on to the last, but their fate was grizzly. They became a cursed being who protects the seal here. <RETURN=1/>You must find <ITEMNAME=40557/>/*Skeleton of Seal 1*/ for the Siegel Knights.<RETURN=1/>Then you must douse all the flames of the altar to move on.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain <ITEMNAME=40557/>/*Skeleton of Seal 1*/.
1331	Many Siegel Knights had perished here a long time ago.
1332	<COLOR=FFE36C0A>[Quest End-Manhunter Sitten]<RETURN=1/></COLOR>Tough place. I'm dizzy.
1333	<COLOR=FFE36C0A>[Quest Start-Manhunter Sitten]<RETURN=1/></COLOR>I will help the Siegel Knights in finding the skeleton. <RETURN=1/>Find the skeleton and bring it to me. Remeber to douse the flames nearby the skeleton.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain the following items.<RETURN=1/><ITEMNAME=40558/>/*Skeleton of Seal 2*/<RETURN=1/><ITEMNAME=40559/>/*Skeleton of Seal 3*/
1334	Search the nearby area. 
1335	<COLOR=FFE36C0A>[Quest End-Manhunter Sitten]<RETURN=1/></COLOR>You did a good job.
1336	<COLOR=FFE36C0A>[Quest Start-Manhunter Sitten]<RETURN=1/></COLOR>We must find 4 skeletons of seal from the remains of 4 masters. We have only one left.<RETURN=1/>Find the last skeleton of seal and eliminate <NPCNAME=34732/>/*Ghoul of Altar*/ that is defending the area.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain <ITEMNAME=40560/>/*Skeleton of Seal 4*/, and eliminate <NPCNAME=34732/>/*Ghoul of Altar*/.
1337	Search the nearby area. 
1338	<COLOR=FFE36C0A>[Quest End-Knight Eldin]<RETURN=1/></COLOR>I am very grateful. You have done well.
1339	<COLOR=FFE36C0A>[Quest Start-Knight Eldin]<RETURN=1/></COLOR>We should be able to move to the place where the soul of the grandmaster is now.<RETURN=1/>But there is one thing before we go. Find and eliminate <NPCNAME=34734/>/*Vice-Captain Vern*/ who betrayed us. <NPCNAME=34734/>/*Vice-Captain Vern*/ should be at the end of this corridor.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=34734/>/*Vice-Captain Vern*/.
1340	We should be able to move to the place where the soul of the grandmaster is now.
1341	<COLOR=FFE36C0A>[Quest End-Vice-Captain Selena]<RETURN=1/></COLOR>I am so tired. I wish to leave.
1342	<COLOR=FFE36C0A>[Quest Start-Vice-Captain Selena]<RETURN=1/></COLOR>I am so tired.. I wish to leave now... Could you please free our souls from the evil captors? Seeing the grandmaster in such a state is heartbreaking・ I beg you.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=36534/>/*The Dead of Spirit*/.
1343	I am so tired... I wish to leave now.
//2009-06-01是牌鯉刊喰採歳	
1351	<COLOR=FFE36C0A>[Quest Start-Assault Charger Oste]<RETURN=1/></COLOR>Our single purpose is to win. Winning at all costs, that is.<RETURN=1/><NPCNAME=25111/>/*Konus*/ is greatly interfering with our mission. No one stands between assault chargers and their mission. Take him down immediately.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=25111/>/*Konus*/.
1352	We need nothing but victory.
1353	<COLOR=FFE36C0A>[Quest End-Logistic Officer Jonnas]<RETURN=1/></COLOR>What delayed you so much?
1354	<COLOR=FFE36C0A>[Quest Start-Logistic Officer Jonnas]<RETURN=1/></COLOR>Whew... Those assault charger wolves are killing me. I supplied them with rations not long ago・ and they are already done with the rations and have requested more・ I am sorry to ask but could you?<RETURN=1/>Ah! If you can't reach the other side of the sewers because the current is too strong, activate the lock gate switch.<RETURN=1/>You can find it behind the <NPCNAME=65262/>/*Goods*/.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Take <ITEMNAME=40562/>/*Type 1 Combat Ration*/ to <NPCNAME=65251/>/*Hass*/.
1355	Whew... Those assault charger wolves are killing me.
1356	<COLOR=FFE36C0A>[Quest End-Assault Charger Hass]<RETURN=1/></COLOR>The last one tasted like dog food.... I hope this one will taste better than that.
1357	<COLOR=FFE36C0A>[Quest Start-Assault Charger Hass]<RETURN=1/></COLOR>That stupid messenger of ours is isolated I hear. The current went crazy all of a sudden or something... You must lock the gate before you cross the sewers. The switch is right behind you..<RETURN=1/><RETURN=1/> <COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Find <NPCNAME=65252/>/*Bearbaum*/.
1358	Combat ration・ tastes like crap..
1359	<COLOR=FFE36C0A>[Quest End-Messenger Bearbaum]<RETURN=1/></COLOR>I thought everyone forgot about me. Oh・ I was so scared.
1360	<COLOR=FFE36C0A>[Quest Start-Messenger Bearbaum]<RETURN=1/></COLOR>Oh.. How should I put this? A fellow messenger of mine is too scared to move. I know the outfit calls him <NPCNAME=65253/>/*Jos the Coward*/, but I didn't know that he was really a coward. Can you help him?<RETURN=1/><RETURN=1/> <COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65253/>/*Jos*/.
1361	For your information, my unit is infamous for housing many a faint of heart, for example, that Juno...
1362	<COLOR=FFE36C0A>[Quest End-Jos the Coward]<RETURN=1/></COLOR>Come on now, just put yourself in my shoes. Would you cross THAT? Alone?
1363	<COLOR=FFE36C0A>[Quest Start-Jos the Coward]<RETURN=1/></COLOR>Have you heard of <NPCNAME=25112/>/*Kirsh*/?<RETURN=1/>A monster... Something that someone like me must avoid.<RETURN=1/>But. that monster is just in front of me・ And you're saying that I should pass it through to the vice-captain?<RETURN=1/>Just tell me to commit suicide instead・ This is bullshit! Why don't you go instead・<RETURN=1/><RETURN=1/> <COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=25112/>/*Kirsh*/.
1364	For the record, I am no coward. I am only being realisitc.
1365	<COLOR=FFE36C0A>[Quest End-Vice-Captian Wolfsburg]<RETURN=1/></COLOR>Why is it you're here? Where is my messenger? Has he fled again? 
1366	<COLOR=FFE36C0A>[Quest Start-Vice-Captain Wolfsburg]<RETURN=1/></COLOR>The Liberators has advanced this far without help. Reclaiming Etherain draws near.<RETURN=1/>But the imperial troops in Etherain are dug in nicely.. Can you see? The famous warrior of the empire, <NPCNAME=25706/>/*Roshfelt*/ himself is leading the defenders. But we will advance without hesitation!<RETURN=1/>Go boys! Kill anything that stands in the way and charge straight to Etherain! <RETURN=1/><RETURN=1/> <COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=25706/>/*Roshfelt*/, and obtain <ITEMNAME=40563/>/*Sickle*/.
1367	Soon we will reclaim Etherain from the empire.
//2009-07-14掻厩紬稽室崇戚坤闘	
6203	<COLOR=FFE36C0A>[Quest Start-Coliseum Warrior]<RETURN=1/></COLOR>Do you want to challenge Monster Coliseum? A hell of a fight will await you there!<RETURN=1/>But it's not for just anyone. If you want to go in and fight, prove to me that you have the combat instinct of a beast! Bring me 30 <ITEMNAME=6795/>/*Blood-Stained Leather*/! You can get them from the life spirits and field bosses in contested area!<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain 30 <ITEMNAME=6795/>/*Blood-Stained Leather*/.<RETURN=1/>
6204	Do you want to challenge Monster Coliseum?
6205	<COLOR=FFE36C0A>[Quest End-Coliseum Warrior]<RETURN=1/></COLOR>Nice work! I will give you a ticket to Monster Coliseum in return!
40602	Obtain 30 <ITEMNAME=6795/>/*Blood-Stained Leather*/.
20556	Obtained all Blood-Stained Leather.
//神板 3:17 2009-07-17	
40190	Eliminate 5 <NPCNAME=178/>.
//神穿 11:33 2009-07-20	
6206	As you probably heard, we have new brothers in arms who call themselves <COLOR=FFFFC000>Shadow</COLOR> joining our ranks. I am sure that you've heard of the Imperial Knights.<RETURN=1/>Correct, being the personal bodyguards of Ignis, they are reknowned knights. It's a shame to cross blades with such fine warriors in battle, even if they are Helron. The empire is throwing their best at us. The outcome of this war will soon be decided.<RETURN=1/><RETURN=1/>This development prompts us to regroup and refit. The shadows will fight alongside us, so each unit that receives a rank of shadows needs to adjust unit balance to accomodate them. Go talk to store keeper <COLOR=FFFFC000>Nomer</COLOR> now. He will give you<COLOR=FF31849B>some supplies that can adjust your abilities</COLOR>. You better hurry before he's out of supplies.
6208	As you probably heard, we have new brothers in arms who call themselves <COLOR=FFFFC000>Shadow</COLOR> joining our ranks. I am sure that you've heard of the Imperial Knights.<RETURN=1/>Correct, being the personal bodyguards of Ignis, they are reknowned knights. It's a shame to cross blades with such fine warriors in battle, even if they are Helron. The empire is throwing their best at us. The outcome of this war will soon be decided.<RETURN=1/><RETURN=1/>This development prompts us to regroup and refit. The shadows will fight alongside us, so each unit that receives a rank of shadows needs to adjust unit balance to accomodate them. Go talk to store keeper <COLOR=FFFFC000>Pavka</COLOR> now. He will give you<COLOR=FF31849B>some supplies that can adjust your abilities</COLOR>. You better hurry before he's out of supplies.
