//Version	0.0.0.1				
//Ж®ё®°Е ёЮЅГБц і»їл					
//±ЗѕЖїµ					
		
		
		
//ёЮЅГБц ID	і»їл				
StrCode	Str	FieldEnd			
1	Миссия пройдена.
//070312_µе·Ў°піЄАМЖ®ДщЅєЖ®№МјЗ_ГЯ°Ў_3033~3038	
3033	You hear aggressive words in the language of the Dragonkin. You canЎЇt approach it.
3034	Нужно вернуться.
3035	Стена рушится, и вы что-то видите.
3036	Вы чувствуете, как могучая сила исчезает.
3037	Каменный столп дрожит.
3038	YouЎЇre surrounded by chilly air.
3039	Вы чувствуете, как что-то шевелится.
3040	Чудовище перед вами не издаёт ни звука, но тело дрожит, а разум наполняет страх!
3041	Наконец долгий путь драконьего рода подошёл к концу.
3042	Подойти можно, если у вас есть священная жертва.
3043	Яйцо трескается.
3044	Яйцо разбилось, и из него что-то вышло.
//070316_АъБЦ№ЮАє Еѕ ГЯ°Ў 3501~3514	
3501	Башню наполняет ядовитый газ.#Чтобы его убрать, нужно сломать что-то у лестницы на той стороне.
3502	Крышка столпа наглухо запечатана и не поддаётся ни на волос.#Нужно приложить больше усилий.
3503	Крышка столпа начинает дрожать.
3504	Крышка столпа сломана.#Источник ядовитого газа уничтожен.
3505	Похоже, враги заметили, что источник ядовитого газа уничтожен.#Скоро они прибудут.
3506	Из-за задержки за вами придёт больше преследователей.
3507	Прибыл командир звериного отряда.
3508	Командир первого звериного отряда уничтожен.#Путь в деревню открыт.
3509	Нужно зажечь восемь чаш.
3510	Прибыл командир элитных солдат Дракона Смерти.
3511	Похоже, здесь есть скрытый магический барьер.#Сначала нужно убить чудовищ, что его удерживают.
3512	Скрытый магический барьер исчез.#Теперь можно идти дальше.
3513	Командир четвёртого отряда элитных солдат Дракона Смерти уничтожен.#Скоро откроется путь в деревню.
3514	Перенос порталом будет доступен через пять секунд.
//070319_БцЗПјц·О4№ш№МјЗ ГЯ°Ў	
1057	Стоки Этерейна#Проход Хаоса
1058	Вдалеке слышен мучительный крик драконьего рода.#Похоже, затевается какой-то заговор.
1059	Из двери перед вами вытекает энергия чёрного эфира.
1060	Дверь открывается.
1061	Наружу хлещет злая аура красного цвета!
1062	Когда магическая сила слабеет, дверь открывается.
1063	Крики боли драконьего рода становятся громче.
1064	The door is sealed with the Magic Barrier, so you canЎЇt open it.#YouЎЇll have to remove the Magic Stones that comprise the Magic Barrier.
1065	Вы видите камень и чувствуете исходящую от него силу магического барьера.#Возможно, он нужен, чтобы открыть дверь.
1066	Вокруг стоит мерзкая, зловещая энергия.#Накатывает дурное предчувствие.
1067	Прямо за стеной слышен крик драконьего рода.#Возможно, вы найдёте его сразу за дверью.
1068	Стоки Этерейна#Зал магического барьера драконьего рода
1069	Карадин из драконьего рода скован магическими цепями, и из него вытягивают кровь и силу.
1070	Чтобы спасти Карадина, нужно разрушить магические цепи, что его держат.#Если не поспешить, он погибнет.
1071	[Карадин](стон боли)Эти магические цепи убивают меня.
1072	[Карадин](задыхаясь)Спасибо.
1073	[Карадин]Я больше не выдержу.
1074	[Карадин]Осторожно, не то угодите в ловушку.
1075	Это магический барьер из крови драконьего рода.#Освободите его, и барьер спадёт.
1076	[Карадин]Наконец-то я свободен. Теперь я смогу по-настоящему отдохнуть.
1077	[Карадин]Это конец моей жизни.#Позвольте мне разрушить магический барьер тем, что осталось от моих сил.
1078	[Карадин]Есть и другие пленники из драконьего рода. Прошу, спасите их от злых сил.
1079	Похоже, сила магического барьера ослабла.
1080	Это магический барьер завода Эфира.#Нужно уничтожить завод Эфира, который вытягивает силу из яиц драконьего рода.
1081	Извивающийся завод Эфира вытягивает жизненную силу.#Сила яиц слабеет.
1082	Если яйца драконьего рода лишатся силы полностью, они взорвутся.#Нужно уничтожить завод Эфира, пока этого не случилось.
1083	Яйца не выдержали тёмной силы эфира и начали трескаться.
1084	До взрыва яиц драконьего рода три секунды...
1085	До взрыва яиц драконьего рода две секунды...
1086	До взрыва яиц драконьего рода одна секунда...
1087	Вам не удалось спасти яйца.#Яйца драконьего рода взорвутся.
1088	Вы чувствуете силу яиц драконьего рода и завода Эфира в другом месте.#Сила яиц слабеет. Нужно спасти их, пока они не разбились.
1089	Яйца драконьего рода спасены.#Однако присутствие завода Эфира всё ещё ощущается.
1090	Это магический барьер завода Эфира.#Нужно уничтожить завод Эфира, который вытягивает силу из яиц драконьего рода.
1091	Вы уничтожили завод Эфира и спасли яйца драконьего рода.
1092	Магический барьер завода Эфира исчез с гулким звуком.
1093	Перед вами кричат несколько представителей драконьего рода.#Это темница, где держат пленников.
1094	Стоки Этерейна#Темница драконьего рода
1095	[Ларк]Сюда! Вытащите меня отсюда!
1096	[Ларк]Спасибо, что спасли меня. Это темница, где держат пленников из драконьего рода.
1097	[Ларк]Они усилили мощь заводов Эфира,# чтобы силой драконьего рода создавать могучих чудовищ.
1098	[Ларк]Я сломаю магический барьер и освобожу нас всех.
1099	"[Ларк]Оставьте это место мне, а сами спасайте остальных из драконьего рода и их яйца."
1100	Это магический барьер завода Эфира.#Снять его может маг драконьего рода, которого держат здесь.
1101	Вы чувствуете силу великого мага драконьего рода Ларка.#Если спасти его, вы узнаете о заговоре Империи.
1102	Стоки Этерейна#Пыточная драконьего рода
1103	От завода Эфира и яиц драконьего рода исходит одна и та же сила.#Вероятно, он вытягивает силу из яиц.
1104	Призван советник драконьего рода Тасиф.
1105	Когда Тасиф повержен, открылся портал в другое место.#Нужно и дальше расследовать заговор Империи.
1106	Стоки Этерейна#Проход боли
1107	Крики драконьего рода теперь звучат куда громче.
1108	Яйца драконьего рода спасены.#Однако присутствие завода Эфира всё ещё ощущается.
1109	Где-то слышно, как открывается дверь.
1110	Яйца драконьего рода спасены. #Нужно рассказать всем Ведущим о заговоре, что творится здесь.
1111	You see a portal to the village at the other side of the room.#Someone has to get out of here and tell the others about the risk to the Dragonkin and the EmpireЎЇs conspiracy.
1112	Похоже, здесь какое-то устройство.#Вас охватывает внезапный ужас. Нужно убираться отсюда, быстро!
1113	Здесь установлена магическая бомба!!#Нужно уходить, немедленно!!
1114	Бомба взорвалась.
1115	The wriggling Ether Plant is making warriors from the DragonЎЇs bones.
1116	Warriors made of DragonЎЇs bones grow in numbers.
1117	Гробница вот-вот взорвётся от силы завода Эфира.
1118	Наконец гробница взорвалась.
1119	"[Спасибо, что даровали покой моей душе...#Прошу, убейте Мениче. Он мучил своих же сородичей и рыл им могилы.]"
1120	С потолка падают железные шипы.#Нужно убить Мениче, пока они не опустились.
1121	[Зал жертвоприношения]
1122	Видно, как Прайя сосредотачивает силу.#Если уничтожить магический камень и Прайю, можно вернуться к своим.
1123	У фонтана возник портал, который вернёт вас к своим#.
1124	You sense the energy of the DragonkinЎЇs eggs and the Ether Plant somewhere nearby.#The energy of the DragonkinЎЇs eggs is growing weaker, little by little. You have to save the eggs before theyЎЇre broken.
1125	Магическая бомба на заводе Эфира активирована!#У вас минута, чтобы её обезвредить.
1126	Чтобы спасти Ларка, нужно убить надзирателя Хельфреда.
1127	Вы успешно спасли Ларка.
1128	Возник портал.
1129	[Стоки Этерейна]#Проход Хаоса
1130	Когда свет магического барьера гаснет, барьер на двери исчезает.
1131	Вы одолели Прайю.
1132	На заводе Эфира установлена магическая бомба!! # Она взорвётся, если не уничтожить все заводы Эфира.
1133	Стоки Этерейна#Зал боли
1134	Вы успешно спасли драконий род.
1135	Прайя воскресла в другом месте и восполняет силы.#Её нужно уничтожить.
1136	Пройти через каменную статую в центре и уничтожить Прайю могут лишь трое.
1137	Нужно поспешить и сообщить всем Ведущим об этом заговоре. Как можно скорее.
1138	Стоки Этерейна#Зал магического барьера драконьего рода
1139	Вы чувствуете магическую силу от пленника драконьего рода.#Вероятно, где-то тикает бомба.
1140	Вы чувствуете силу завода Эфира, исходящую от Прайи.#Похоже, это запал магической бомбы барьера.
//їлБ·АЗ°и°оSM2	
1601	Это место звали Пещерой духов, но Драконы Смерти сделали из него убежище.#А после исчезновения древнего дракона Диорасиса местонахождение Драконов Смерти тоже стало загадкой.
1602	IЎЇll eliminate the Magic Barrier of dark smoke.#And now you must locate and kill the Death Dragon in order to prove the innocence of our Valkyrie Clan.
1603	Тёмный дым рассеялся. Теперь можно пройти.
1604	Каменная статуя рушится, источая неведомую силу.
1605	A stone statue that emanates an unidentifiable power is blocking the path. YouЎЇll have to find an alternative route.
1606	Вы чувствуете лёгкую дрожь и понимаете, что где-то вот-вот что-то изменится.
1607	Когда все каменные статуи разбиты и вспыхнул свет, статуя, преграждавшая дорогу, рухнула.
1608	Когда вы подходите к огромной каменной статуе, от неё веет странной мощной силой.
1609	Появился Дракон Смерти.
1610	YouЎЇve killed the Death Dragons, which had been missing.
1611	Что это было?!
1612	N.. N..o,  m..o..r..e: You hear a voice from somewhere, but itЎЇs unclear.
1613	Прибыли враги, охраняющие вход.
1614	Прибыли враги, охраняющие мост.
1615	Прибыло подкрепление врага — [Копейщики Лавовой долины]. Чтобы перейти мост, их нужно убить.
1616	Гибель [Копейщиков Лавовой долины] соединила мост.
1617	Дальше пройти нельзя.
1618	Я глубоко благодарен за то, что вы сорвали засаду [Дракона Смерти]. #Дорога в долину для вас открыта, ступайте и преследуйте [Дракона Смерти].
1619	Сюда нельзя войти без разрешения [Пабель] из разведки валькирий.
1620	Среди врагов перед мостом виден подозрительный старик.
1621	Подозрительный старик исчез вместе с врагами.
1622	Исчезнувшие враги вернулись.
1623	Когда вы убили [Воина-хранителя рыцарей-дрейков], мост соединился.
1624	Враги, сидевшие в засаде, показались.
1625	Поскольку [Кровавый гладиатор Дракона Смерти] убит, можно перейти в следующую область.
1626	The gate is tightly closed. YouЎЇll have to find another way to open it.
1627	У рычага возникло неясное повреждение, и прибыли враги.
1628	Со временем наглухо закрытые ворота медленно открываются.
1629	YouЎЇre trapped.
1630	От прикосновения к каменной статуе дрейков сила чёрного эфира крепнет.
1631	Прибыли [Вожаки дрейков]. Чтобы выбраться из ловушки, нужно убить их всех.
1632	Когда вы убили всех [Вожаков дрейков], каменная статуя падает и открывает наглухо закрытые ворота.
1633	От прикосновения к [Каменной статуе духа] вас ранила неведомая сила. Но ничего не изменилось.
1634	Когда все [Каменные статуи духа] уничтожены, вы ощущаете неведомую силу.
1635	ItЎЇs a trap.
1636	Нужно найти настоящую каменную статую, от которой веет силой чёрного эфира. Похоже, здесь скрытая ловушка.
1637	Появились [Забытые духи]. Чтобы узнать, как перейти мост, их нужно убить.
1638	После гибели всех [Забытых духов] у моста появилась [Каменная статуя духа].
1639	Когда все [Каменные статуи духа] уничтожены, мост соединился.
1640	Из [Каменной статуи духа] вышла энергия чёрного эфира.
1641	Kill.. theЎ¦ Dark... Ether... : You hear that unclear voice again.
1642	Каменный мост соединён неведомой силой.
1643	ItЎЇs an ambush by the [Death Dragon].
1644	Гибель всех [Колдунов Дракона Смерти] соединила каменный мост.
1645	Когда вы подходите к [Каменной статуе духа], вы чувствуете мощную силу чёрного эфира.
1646	Появились духи, охраняющие [Каменную статую духа].
1647	Soul of the Spirit: Once the Death Dragon took the Ancient Dragon, Diorasis, we, the spirits#, were enslaved by the power of the Black Ether. IЎЇll never forget the help you gave.#I will open the closed door of the Death Dragon for you. I will repay you for thisЎ¦
1648	Душа духа: Если спешите к закрытой двери — ступайте через тот проход.#Если хотите убить оставшегося в долине Дракона Смерти — идите прямо к нему.
1649	You canЎЇt go any farther due to the lava. YouЎЇll have to find an alternative route.
1650	Спасибо вам, люди.
//їлБ·АЗ°и°оSM2ГЯ°Ў	
1811	За взметнувшейся лавой виден [Древний дракон Диорасис].
1812	ItЎЇs an amush by the [Death Dragon]. You have to kill all of them  in order to pass.
1813	Из-за задержки [Древний дракон Диорасис] ушёл вместе с врагами.
1814	Появился [Монарх Дракона Смерти].
1815	Из глубины пещеры исходит сила чёрного эфира.
1816	Наглухо закрытая дверь теперь открыта.
1817	Призван [Вожак дрейков]. Чтобы пройти по этой дороге, нужно убить их всех.
1818	"Неплохо для человека. Но твоя глупость тебя погубит."
1819	Когда вы подходите к мосту, вы чувствуете мощную силу смерти.
1820	На вас напали [Драконы Смерти], что шли по вашему следу.
1821	О, вы здесь! Дверь прохода справа выглядит подозрительно, но открыть её мне не удаётся.#Где-то должно быть то, чем её открыть...
1822	Нечто неведомое исчезает: позаботься... обо мне... в долгой... тьме.
1823	Когда все враги побеждены, лава исчезает и открывается проход.
1824	Теперь, когда затаившийся [Дракон Смерти] исчез, разведка будет безопасной. Поспешите и сообщите [Пабель].
1825	Я [Пабель] из разведки валькирий.#Нам донесли о подозрительном движении у моста далеко отсюда.#Прошу вас сходить и проверить: у нас важный военный совет.
1826	Порядок был неверным, и теперь вы в западне.
//070325_АъБЦ№ЮАє Еѕ ёЮЅГБц ГЯ°Ў 3515~3523	
3515	Весь зал наполняет холодный ветер.#Нужно найти устройство, спрятанное где-то здесь.
3516	Вы взяли не то устройство.#Появились враги, сидевшие в засаде.
3517	Рычаг не отзывается.#Сначала нужно найти другое устройство.
3518	Устройство включено.#Нужно найти следующее.
3519	Холодный ветер в зале постепенно стихает.#Появился [Владыка замка].
3520	По земле начинает расползаться мерзкий зелёный туман.#От каменной статуи льва перед вами веет злой силой.
3521	Враги, запечатанные в каменной статуе, начинают появляться.#Похоже, они как-то связаны с туманом.
3522	Туман, наполнявший зал, исчез.#Появился [Владыка пламени], охраняющий святилище!
3523	Возник портал, который вернёт вас в деревню.
//070403_И­»кёЮАОГЯ°Ў	
//И­»кёЮАОіЄ·№АМјЗ_321~325	
323	Место, где обосновался первый слуга Империи, охраняющий магический барьер Долины драконьего рода.#Сквозь знойное марево над лавой виден дракон со странным телом.#
324	Он стоял на пути Ведущих, но был лишь частью магического барьера, который следовало разрушить.#Он больше не принадлежал к гордому драконьему роду.#Боль от заклятия, вырезанного на его теле, свела его с ума.
325	Место второго магического барьера; здесь полно чёрного эфира и жара, от которого трудно дышать.#Сквозь взметнувшиеся столпы лавы слышен леденящий смех.
327	Глубочайшая часть священного места драконьего рода. Здесь был погребён капитан рыцарей-дрейков.#Ведущие делали первые шаги туда, куда никто не смел ступить.
328	А над тем местом была растленная душа капитана рыцарей-дрейков: она глядела на них и источала мощную энергию чёрного эфира.#Ведущим приходилось идти вперёд, чтобы освободить душу.
//И­»кёЮАОёЮЅГБц_1501~1550	
1501	Путь перекрыт липкой слизью.
1502	Сзади слышен треск разбивающихся яиц!
1503	Когда вы убиваете детёныша дрейка, перед слизью слышен громкий хлопок крыльев!#Видимо, это тот, кто создал слизь, перекрывшую путь.
1504	Слизь исчезает, когда Вожак дрейков убит.
1505	Этот грохот говорит, что мост начинает рушиться! Он насторожит врагов!
1506	Это враги бегут к мосту! Готовьтесь к бою!
1507	Засада имперской армии!
1508	Когда вы подходите ближе, мост обрушивается.
1509	У капитана патруля был ключ, открывающий где-то блок моста!#Вы получили [Ключ капитана патруля].
1510	У заместителя капитана был ключ, открывающий где-то блок моста!#Вы получили [Ключ заместителя капитана].
1511	У одного из стражников нашёлся ключ. Он открывает где-то блок моста.#Вы получили [Ключ стражника].
1512	Ключом, взятым у стражника, вы сняли цепь с блока.#[Ключ стражника] рассыпается.
1513	Блок не сдвинуть: он накрепко скован замком и цепью.#Нужно найти ключ от замка.
1514	Цепь с восточного моста снята. Блок приходит в движение.
1515	Когда вы снимаете цепь с блока, мост приходит в движение.
1516	Цепь с западного моста снята. Блок приходит в движение.
1517	Пещера, ведущая к священному месту, перекрыта печатью Дракона Смерти.#Нужно понять, как снять эту печать.
1518	Мост перекрыт слепящим светом.
1519	Когда пламя столпа гаснет, алтарь окутывает мощная сила!
1520	Когда вы убиваете Мага печати, сила алтаря слабеет.
1521	Сила печати исчезла.
1522	Дракона удерживает некая сила.#[Я Арпе из драконьего рода долины. Прошу, убейте зверя, чтобы я мог освободиться!]
1523	Зверь, охранявший печать, убит, и на пустыре возник портал!#Лучше приготовиться к бою!
1524	Дракон говорит еле слышно. [Магия Дракона Смерти убьёт меня. Прошу, передайте это моим сородичам.]#Под телом дракона виднеется стопка документов.
1525	Дракон неподвижен. Должно быть, он мёртв.
1526	Алтарь начинает источать яркий свет.
1527	Путь перекрыт печатью Дракона Смерти.
1528	Стоит выйти на пустырь, как отовсюду появляются враги!
1529	Печать Дракона Смерти сломана! Открылся портал ко входу в священную землю.
1530	Прошло шесть минут!
1531	Факел холоден и не отзывается.
1532	Стоит коснуться факела, как отовсюду слышится шум!#Появляются твари Лавовой долины!
1533	С гибелью последнего дрейка, вышедшего из печати факела, каменный мост со щелчком начинает подниматься.#Теперь можно перейти лавовое озеро.
1534	Дрейк, преграждающий путь, начинает громко и пронзительно выть.
1535	От каменной статуи идёт странный звук! Похоже, вы коснулись рогов не в том порядке.
1536	Когда вы касаетесь рогов, глаза каменной статуи загораются. Похоже, порядок верный.
1537	Огненная печать факела сломана. Опоры приходят в движение.
1538	За проходом — озеро холодной магии. Кто-то управляет зверями вулкана магической силой.
1539	Над холодом магии слышен взволнованный человек.#[Помогите! Эта тварь сейчас сожрёт меня живьём! Скорее!!]
1540	Когда вы отворачиваетесь, человек злится и топает ногами.#[Ах ты мерзавец! Отвернуться от человека в беде? Бессердечная тварь!]
1541	"Стоит отойти чуть дальше, как человек начинает умолять.#[Эй! Эй! Я странствующий торговец. Помоги, и я хорошо с тобой рассчитаюсь. Эй, ну же!]"
1542	"После гибели последнего зверя поблизости человек наконец убирает холод магии.#[Уф! Я был как курица в ожидании котла из-за потерянного кольца, а потом меня чуть не съели заживо!]"
1543	"[Эй, ты славно поработал. Как и обещал, рассчитаюсь хорошо. Считай, тебе повезло.]"
1544	"Из пасти статуи с драконьей головой доносится глубокий нечеловеческий голос.#[Я хранитель священной земли. Никто не пройдёт в эту дверь без доказательства дракона.]"
1545	Вы добыли эссенцию дрейка и можете открыть ею врата покровительства.#У вас есть [Эссенция дрейка].
1546	Эссенция вставлена в статую с драконьей головой.#Вспыхивает яркий свет, и слышно, как открывается дверь.
1547	Из синего шара доносится голос слабой женщины.#[Помогите. Я заперта в этом шаре магией Дракона Смерти.#Сломайте магический барьер впереди, чтобы выпустить меня, и я отдам вам Свиток снятия печати в благодарность.]
1548	[Спасибо, но я пока не могу пользоваться силой из-за печатей вдоль пути.#Не могли бы вы вынести меня отсюда? Я спрячусь в вашей сумке, пока мы не уйдём с этого пути печатей.]
1549	[Я отдам вам этот магический свиток, если вы вынесете меня из барьера.#Сломайте эту Печать пламени, и я спрячусь в вашей сумке и сбегу.]
1550	Когда печать пламени ломается, шар подлетает к вам и надёжно прячется в сумке.
//И­»кёЮАОГЯ°ЎёЮЅГБц_4003~4050	
4003	Вход перекрыт магической силой!#[Это магическая стена, созданная Столпами печати! Уберите столпы, чтобы рассеять силу.]
4004	Магическая сила, перекрывавшая вход, исчезла. Теперь можно покинуть этот путь.
4005	[Наконец-то свобода! О, как я ждала этого дня!#Я сожгу всех, кто запер меня в этом жалком дурацком шаре!]
4006	[От этого низкого сброда я большего и не ждала. В самый раз стать первыми жертвами моей мести!]
4007	Вы получили Синий свиток снятия печати от запечатанной.#У вас есть [Синий свиток снятия печати].
4008	От каменной статуи дрейка доносится глубокий голос.#[Ты выглядишь немного иначе, чем прочие здешние растленные.]
4009	[Где-то здесь есть человек, запечатанный Свитком снятия печати.#Ступай к нему и добудь магический свиток. Тогда я освобожусь из этой каменной глыбы, а ты сможешь продолжить путь.#Ступай, ищи свиток.]
4010	[Я не сдвинусь ни на дюйм, пока не верну украденный магический свиток.#Найди его, если хочешь перейти мост.]
4011	[Прошло слишком много времени, и наконец я свободен от этой каменной глыбы.#В знак благодарности отдам тебе свой магический свиток.#Спасибо!]
4012	Каменная статуя дрейка отдала вам Красный свиток снятия печати!#Вы получили [Красный свиток снятия печати].
4013	По долине раскатывается громкий голос!#[Статуя хранителя исчезла! Черви из мятежной армии наконец здесь! Взять их!]
4014	Вы получили Жёлтый свиток снятия печати от Мага печати!#У вас есть [Жёлтый свиток снятия печати].
4015	Печать на входе в священную землю сломана!
4016	Когда будете готовы, положите руку на Факел покровительства.#Вас встретит провидец.
4017	Вы зажигаете один из Факелов покровительства.#Откуда-то слышно, как захлопывается дверь камеры.
4018	Когда будете готовы, положите руку на Факел покровительства.#Вас встретит Жизнь пламени.
4019	Зажигать факелы нельзя, пока не открыты обе двери.#Наберитесь терпения.
4020	От прикосновения к среднему факелу вокруг левого и правого факелов появляются тотемы драконьего рода!
4021	"По залу раскатывается глубокий нечеловеческий голос.#[Вы, зажёгшие три огня, теперь пройдёте последнее испытание.]"
4022	"[Вы, прошедшие испытание Дракона, вправе ступить в священную землю]#У входа открывается портал! Теперь можно войти в священную землю."
4023	Перекрыто слизью дрейка.
4024	Вы видите устройство, испускающее свет, но подойти ближе нельзя: мост сломан. Нужно искать другой путь.
4025	Похоже, крики дрейков будоражат яйцо в центре!
4026	Яйцо треснуло, и Королева дрейков пробудилась ото сна!
4027	Слизь у входа исчезла. Теперь можно выбраться из пещеры дрейка.
4028	Слышен хлопот крыльев дрейка! Быстрее! Разбейте камень и выбирайтесь из пещеры!
4029	Похоже, устройство под заклятием демонов. Должно быть, это магический барьер, сковывающий драконий род вулкана.
4030	Вам удалось остановить один из магических барьеров вулкана.
4031	Когда магический барьер сломан, по священному месту расходятся магические колебания!#Энергия исходит от последнего барьера!
4032	Прошла одна минута.
4033	Прошло три минуты.
4034	Прошло пять минут.
4035	Прошло семь минут.
4036	Прошло восемь минут.
4037	Прошло девять минут.
4038	Прошло две минуты.
4039	Прошло четыре минуты.
4040	Прошло десять минут.#Похоже, последний магический барьер лишился всей энергии.#Барьер можно сломать, когда он полностью её исчерпает.
4041	Все устройства магического барьера остановились!
4042	Портал, закрытый магическим барьером, открылся. Теперь можно подняться на вершину священного места, где стоит последний барьер.
4043	Когда вы убираете капитана рыцарей-дрейков и энергию Магических камней, по залу начинают кружить мощные силы!
4044	[Я снова силён благодаря мощи магического барьера! Теперь я покажу вам истинную силу драконьего рода!]
4045	Вы уничтожили все магические барьеры в долине.#Миссия выполнена.
4046	Дракон со стоном говорит:#[Убейте зверей, чтобы снять печать. У меня важное дело, и мне нужна ваша помощь.]
4047	Это магический факел, двигающий мост. Чтобы снять с него заклятие, нужно привести в действие какое-то устройство.
4048	Факел холоден и не отзывается. Должен быть другой способ его зажечь.
4049	Холодный факел зажёгся!
4050	Воздух вокруг наполняется энергией магического барьера!
//071112_їлБ·SM1_іЄ·ЎАМјЗ јцБ¤	
432	Освободительная армия столкнулась с неожиданной опасностью при разведке Долины драконьего рода. Так и не проверив сведения о том, что мятежники из драконьего рода связаны с валькириями, они входят в Долину драконьего рода, где чувствуется сила тёмной магии, чтобы найти и уничтожить корень магического барьера.
433	Сумеет ли Освободительная армия пройти сквозь поджидающие опасности?
//071115_1ѕЖАМїГЖ® ј­єк3_БцїЄён216~219	
216	Кладбище Айорт#Подземное кладбище Айорта
217	Кладбище Айорт#Скрытые катакомбы
218	Кладбище Айорт#Великий зал тьмы
219	Кладбище Айорт#Алтарь верховного жреца
220	Кладбище Айорт#Могильная область
235	Кладбище Айорт#Личная могила мага
236	Кладбище Айорт#Алтарь павших на войне
237	Кладбище Айорт#Подземная кузница замка Айорт
238	Кладбище Айорт#Винный погреб замка Айорт
239	Кладбище Айорт#Поминальный алтарь
//071115_2ѕЖАМїГЖ® ј­єк3_іЄ·№АМјЗ315~316	
//071115_3ѕЖАМїГЖ® ј­єк3_ёЮЅГБц2651~2700	
2651	Резные буквы на плите так стёрлись, что прочесть их почти невозможно.
2652	Плита выглядит особенно старой. Буквы неразборчивы, кроме глубоко вырезанного герба семьи Хайдель.
2653	"[Здесь погребены умершие от чумы тьмы.]"
2654	"[Последнее пристанище Валона, Звёздного рыцаря, последователя Штернена.#«Пусть меч и тело сломлены, твоё благородное имя пребудет вовек. Ныне я ухожу, чтобы доставить тебе этот клинок» — Валон.]"
2655	"[Патрик, ты жил и умер верным последователем Звёздного рыцаря.#Посылаю этот клинок Рыцаря в честь твоей памяти. Прошу, доставь его Рыцарю в целости.#Ты был так предан Рыцарю, что для меня времени не оставалось, но я была счастлива, потому что любила тебя» — твоя жена Рэйчел.]  "
2656	"[Kitty, who wandered all her life in search of her real name, believing she had lost it, finally stopped here.#'You may not like your name, but you are Kitty because your mother gave you the name. Do you believe it now?' - Your uncle.]"
2657	"Goltmor Heidel, the master of the Heidel Family, the great warriors who ruled the continent under their swords, finally rests his sword here.#His body is no longer, but his soul will live forever in the name of his family.]"
2658	"Sternen Richt, the Knight of Stars. Finished a life of 32 years like a morning star, and is now resting by the grace of God.#'Oh, the precious, I offer my sword to you, who will remain on this land.#May the power of protection remaining with the sword keep you safe from the war your lives are.' - Sternen.] "
2659	"[Bink, the self-proclaimed lover of all Aiort women, sleeps here at last.#You asked me to make ten fake coffins to avoid their husbands, but my friend, you left only ten heims.#It's okay, the husbands must have forgotten about you by now.' - Your good friend.]"
2660	"[As the Dark King descends upon the remains of Aiort to breathe the new life of death into it, Aiort will be ruled by the ghosts of heretical religion once again.#The lantern held by a female Demon will arrive here, at which timeЎ¦the rest is illegible . . . .]"
2661	[Let me tell you a secret: The wine here turns into a wound-healing medicine once in a while. Isn't that curious? - Debunker K.]
2662	"[The average final resting place of Moose, an extremely happy man#who was born into an average family, grew up normally, married an average woman, had an average son, got old normally and died a normal death.]"
2663	Blank
2664	The totem of black magic is here! Its evil energy begins to fill the air.
2665	The totem of black magic is here! Its evil energy begins to bring the dead to life!
2666	Unlike other coffins, this coffin is sealed with a talisman.#You must find a way to remove the seal in order to learn what's inside.
2667	"Goltmor Heidel, the master of the Heidel Family, the great warriors who ruled the continent under their swords, finally rests his sword here.#His body is no longer, but his soul will live forever in the name of his family.]"
