//	스킬 설명 스크립트																																																																																								
//				1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate					1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate																																																																
//				2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1					2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1																																																																
//				3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2					3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2																																																																
//				4 : Ability1Parameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1					4 : AbilityParameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1																																																																
//				5 : Ability1Parameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2					5 : AbilityParameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2																																																																
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//	설명인덱스	스킬이름	스킬설명코드	어빌리티코드1	파라미터1표시방식	파라미터타입번호1	어빌리티코드2	파라미터2표시방식	파라미터타입번호2	어빌리티코드3	파라미터3표시방식	파라미터타입번호3	어빌리티코드4	파라미터4표시방식	파라미터타입번호4	어빌리티코드5	파라미터5표시방식	파라미터타입번호5	어빌리티코드6	파라미터6표시방식	파라미터타입번호6	어빌리티코드7	파라미터7표시방식	파라미터타입번호7	어빌리티코드8	파라미터8표시방식	파라미터타입번호8																																																														
	Index	SkillName	Scode	AbilityIDCode1	Type1	AbilityParameterNo1	AbilityIDCode2	Type2	AbilityParameterNo2	AbilityIDCode3	Type3	AbilityParameterNo3	AbilityIDCode4	Type4	AbilityParameterNo4	AbilityIDCode5	Type5	AbilityParameterNo5	AbilityIDCode6	Type6	AbilityParameterNo6	AbilityIDCode7	Type7	AbilityParameterNo7	AbilityIDCode8	Type8	AbilityParameterNo8	FieldEnd																																																													
	408	배틀배리어	29509	111	1	5	111	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	358	디펜스모션	29409	14	1	10	19	1	15	114	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	411	필오프	29512	1	1	4	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	420	아드레날린(체인지업)	26021	228	2	4	228	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	423	뉴런스파크	29016	21	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	421	서먼마스터리(체인지업)	26022	229	1	2	229	2	5	229	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	413	매직워커	29514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	414	파이어애로우	29515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	415	큐어	29516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	416	도플갱어	29517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	417	라이트닝	29518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	418	덱스터시	29519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	400	언리미티드포스	29501	11	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	401	마크오브팩션	29502	16	1	5	16	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	402	마크오브심포니	29503	16	1	5	16	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	404	페이션스	29505	14	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	500	파이어애로우	29701	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	507	아이스볼트	29708	1	1	9	20	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	501	아이스대거	29702	1	1	14	20	2	5	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	504	파이어볼	29705	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	503	아이스블래스트	29704	1	1	9	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	509	파이어필라	29710	1	1	9	103	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	510	프레싱월	29711	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	508	쏘니바인	29709	103	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	522	인챈트파워	29017	28	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	517	락스톰	29718	1	1	9	14	2	5	2	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	505	파이어스피어	29706	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	502	텔레포트	29703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	557	프로즌쉴드	29808	116	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	519	스타폴	29720	1	1	4	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	513	포이즌쏜	29714	1	1	4	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	514	어스퀘이크	29715	1	1	9	101	2	1	20	2	15	21	2	20	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	523	카탙리스트파워	29018	28	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	520	에테르스피릿(체인지업)	26023	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	450	파이어마스터리	29601	16	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	451	워터마스터리	29602	16	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	452	윈드마스터리	29603	16	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	453	어스마스터리	29604	16	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	454	마나리제너레이션	29605	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	455	멀티미사일	29606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	571	세이크리드파이어	29726	1	1	4	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	554	부활	29805	204	2	9	204	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	552	치유의손길	29810	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	511	윈드볼트	29712	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	506	신성한기운	29821	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	572	인콰이어리	29727	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	558	에센스	29809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	568	그룹힐	29819	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	516	라이트닝웨이브	29717	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	576	위스퍼오브윈드	29019	20	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	553	매직쉴드	29804	111	1	5	111	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	515	일렉트릭필드	29716	1	1	9	103	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	559	배틀힐	29821	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	521	인어빌리티(체인지업)	26024	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	565	치유마법진	29816	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	573	데비쉬댄스	29728	1	1	4	102	1	10	100	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	577	위스퍼오브실프	29020	20	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	574	세인트에이드(체인지업)	26025	4	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	566	인크리즈스피드	29817	20	2	5	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	567	포커스	29818	18	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	569	리버스	29820	204	2	9	204	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	575	퍼지(체인지업)	26026	212	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	560	마이티스피릿	29811	11	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	563	마이티파워	29814	17	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	512	라이트닝	29713	1	1	9	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	518	파워웨이브	29719	1	1	14	313	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	570	마나리차지	28724	8	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	550	블레이즈포스	29801	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	551	아이스포스	29802	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	555	내추럴어택	29806	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	556	매직포스	29807	13	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	561	마나리커버리	29812	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	562	윈드쉴드	29813	103	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	564	에큐러시스피릿	29815	17	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	703	플레임클러	28952	1	1	4	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	702	레그락	28951	1	1	4	20	2	6	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	721	미스티블링크	29952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	704	플라잉비	28953	1	1	4	21	2	6	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	705	라이징서펀트	28954	1	1	4	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	706	바이탈포인트	28955	1	1	4	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	707	스네이크킥	28956	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	708	롤링밤	28957	1	1	4	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	709	템페스트블로우	28958	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	710	와일드싸인	28959	311	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	711	크레비스	28960	1	1	4	20	2	6	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	712	스톰핑후프	28961	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	713	와일드아이즈	28962	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	714	페이탈포인트	28963	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	715	마엘스트롬	28964	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	716	미스트댄스	28965	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	717	어웨이큰	28966	11	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	718	와일드엠블럼	28967	311	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	719	에너지볼트	29950	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	720	플레임버스트	29951	1	1	9	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	701	에너지스매쉬	28950	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	722	프로스트레인	29953	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	723	인페르노	29954	1	1	4	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	724	토네이도	29955	1	1	4	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	725	이그니션	29956	1	1	4	335	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	726	울프팽	29957	1	1	4	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	727	네츄럴블로우	29958	311	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	728	베어크래쉬	29959	1	1	4	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	729	썬더볼트	29960	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	730	볼케이노	29961	1	1	4	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	731	다크오브라이트	29962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	732	그라비티	29963	1	1	4	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	733	미티어	29964	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	734	폴리모프	29965	338	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	735	네츄럴레이지	29966	311	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	736	피닉스버스트	29967	1	1	4	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	737	블래스터펀치	28970	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	738	크래쉬암	28971	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	739	리페어	28972	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	740	드롭킥	28973	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	741	슬로우오라	28974	21	2	5	20	2	10	311	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	742	드릴어택	28975	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	743	위크너스오라	28976	14	2	5	19	2	10	302	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	744	스핀블로우	28977	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	745	플라잉차징	28978	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	746	블래스터쇼크	28979	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	747	하트브레이크	28980	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	748	미스챈스오라	28981	25	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	749	포지션체인지	28982	14	2	5	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	750	디클라인오라	28983	28	2	5	225	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	751	인베이더모드	28984	345	2	5	111	1	15	20	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	752	헬로이드스핀	28985	102	1	5	102	1	10	102	1	15	107	2	25	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	753	헤드벗	29970	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	754	에테르차징	29971	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	755	로우블로우	29972	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	756	스트레이트펀치	29973	1	1	9	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	757	리커버리오라	29974	5	1	5	9	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	758	리바이브	29975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	759	부스트오라	29976	11	2	5	28	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	760	블래스터붐	29977	1	1	4	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	761	블래스터파이어	29978	1	1	4	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	762	헬로이드빔	29979	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	763	슬라이딩어택	29980	1	1	4	20	2	6	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	764	이그노어오라	29981	344	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	765	에테르체인	29982	2	1	5	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	766	컨센트레이션오라	29983	25	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	767	가디언쉴드	29984	14	2	5	302	1	10	19	1	15	3	1	20	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	768	브레이크어스	29985	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	769	호라이즌잭	28931	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	770	터닝킥	28932	1	1	4	21	2	6	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	771	피드온레이지	28933	353	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	772	스핀턴쓰러스트	28934	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	773	트위스트플랩킥	28935	1	1	4	1	1	14	206	2	6	11	2	10	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	774	바이올렛크로스	28936	1	1	4	14	2	6	14	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	775	네일스크래치	28937	1	1	4	1	1	14	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	776	페어리블레스	28938	5	1	5	5	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	777	데드폴	28939	1	1	4	1	1	14	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	778	드래곤댄스	28940	1	1	4	1	1	9	351	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	779	스피닝하츠	28941	1	1	4	1	1	14	20	2	20	21	2	25	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	780	바이스소드	28942	353	1	5	354	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	781	이베이드	28943	352	2	2	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	782	다크폴링그레이브	28944	1	1	4	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	783	퓨리포메이션	28945	353	1	15	344	2	20	311	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	784	라이징포스	28946	349	1	5	11	2	10	20	2	15	20	2	15	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	785	엔젤블레스	28947	5	1	5	5	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	786	서먼_스컬제이크	29931	348	1	5	221	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	787	크로스콤비네이션	29932	1	1	4	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	788	다이브헬팡	29933	1	1	4	21	2	6	21	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	789	블레어팡	29934	1	1	4	14	2	6	14	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	790	뱀파이어릭터치	29935	348	1	5	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	791	서머너즈리커버리	29936	348	1	5	4	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	792	블레이드커튼	29937	1	1	4	335	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	793	서먼_티타니아	29938	1	1	4	20	2	10	14	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	794	프로스트브레스	29939	1	1	4	351	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	795	멘딩멘탈	29940	9	1	5	9	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	796	서먼_밴쉬	29941	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	797	프로즌윈드	29942	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	798	디바인어설트	29943	1	1	4	1	1	14	2	2	6	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	799	서먼_씨엘리스	29944	11	2	10	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	800	멘딩마인드	29945	9	1	5	9	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	801	마그네틱그라비토	29946	4	2	20	1	1	4	101	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	802	루튼포인트	29947	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//길드시설																																																																																									
	1001	용병조합	11320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	1002	원로회	11319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	1003	이클립스	11310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	1004	클랜	11316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	1005	마법연구소	11317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	1006	펠레스	11348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	1007	HER	11364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	815	은총의창격(1~11)	404645	1	1	10	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	816	단죄의창격(1~11)	403637	1	1	10	2	2	13	2	3	18	2	1	17	210	1	5	0	0	0	0	0	0	0	0	0																																																														
	817	갑옷파쇄(1~11)	403639	1	1	10	14	2	13	14	3	18	14	2	17	210	1	5	0	0	0	0	0	0	0	0	0																																																														
	818	파멸의일격(1~11)	404637	386	2	1	1	1	16	101	3	30	2	2	19	2	3	24	2	1	23	210	1	11	0	0	0																																																														
	819	발목분쇄(1~11)	403635	1	1	10	20	2	13	20	3	18	20	2	17	210	1	5	0	0	0	0	0	0	0	0	0																																																														
	820	피의맹타(1~11)	404639	1	1	10	2	2	13	2	3	18	2	1	17	210	1	5	0	0	0	0	0	0	0	0	0																																																														
	821	신성파동(1~11)	404647	1	1	22	386	2	1	210	1	17	210	1	11	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	822	신성한돌진(1~11)	404649	387	3	24	387	1	23	1	1	10	101	3	18	210	1	5	0	0	0	0	0	0	0	0	0																																																														
	823	종말의성가(1~11)	404643	385	3	6	385	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	824	심판의권능(1~11)	404641	384	3	6	11	3	12	11	2	11	311	3	18	311	2	17	387	3	24	387	1	23	0	0	0																																																														
	825	천상의맹타(1~11)	404052	1	1	16	14	2	19	14	3	24	14	2	23	210	1	11	210	1	5	0	0	0	0	0	0																																																														
