//pet 관리 정보 스크립트				0. 1~6인챈 효과(없음)									펫UI상태설정		친밀도 값에 따라 옵션은 누적 되지 않습니다. 1개의 옵션만 활성화 																																																																																	
//최초 작성자 : 	이인			1. 7인챈 효과																																																																																												
//최종 작업자 :	정동일			2. 10인챈 효과																																																																																												
//최종 작성일 :	오후 3:24 2008-11-14			3. 12인챈 효과																																																																																												
//version 1.0.0.4				4. 1~6인챈 효과(디바인)																																																																																												
//				5. 7인챈 효과(디바인)																																																																																												
//계열				6. 10인챈 효과(디바인)	포만감 및 친밀도 상승/ 하락값 설정										친밀도 0~20% 											친밀도 21~40%											친밀도 41~59%											친밀도 범위60~99%											친밀도100%																																					
//				7. 12인챈 효과(디바인)																																																																																												
//1		0.9.0.2		0.9.0.2								국내누적설정x	0.8.1.9	0.9.0.4																																																																																		
//인덱스 코드	펫	네임코드	몬스터ID	인챈트효과	포만감상승값1	포만감하락값1	포만감하락값2	친밀도상승값1	친밀도하락값1	친밀도하락값2	AI타입	누적설정	펫UI상태설정	펫위치설정	친밀도 최소범위1	친밀도 최대범위1	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위2	친밀도 최대범위2	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위3	친밀도 최대범위3	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위4	친밀도 최대범위4	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위5	친밀도 최대범위5	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값																											
dwIndex	Name	NameCode	wMonsterCode	EffectType	byFullnessUp	byFullnessDown1	byFullnessDown2	byIntimacyUp	byIntimacyDown1	byIntimacyDown2	byAIType	Cumulate	PdisplayMove	Pposition	byIntimacyMin1	byIntimacyMax1	wPet1OptionKind1	byPet1ValueType1	iPet1Value1	wPet1OptionKind2	byPet1ValueType2	iPet1Value2	wPet1OptionKind3	byPet1ValueType3	iPet1Value3	byIntimacyMin2	byIntimacyMax2	wPet2OptionKind1	byPet2ValueType1	iPet2Value1	wPet2OptionKind2	byPet2ValueType2	iPet2Value2	wPet2OptionKind3	byPet2ValueType3	iPet2Value3	byIntimacyMin3	byIntimacyMax3	wPet3OptionKind1	byPet3ValueType1	iPet3Value1	wPet3OptionKind2	byPet3ValueType2	iPet3Value2	wPet3OptionKind3	byPet3ValueType3	iPet3Value3	byIntimacyMin4	byIntimacyMax4	wPet4OptionKind1	byPet4ValueType1	iPet4Value1	wPet4OptionKind2	byPet4ValueType2	iPet4Value2	wPet4OptionKind3	byPet4ValueType3	iPet4Value3	byIntimacyMin5	byIntimacyMax5	wPet5OptionKind1	byPet5ValueType1	iPet5Value1	wPet5OptionKind2	byPet5ValueType2	iPet5Value2	wPet5OptionKind3	byPet5ValueType3	iPet5Value3	FieldEnd																										
74	올드스텀피	158439	5062	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
75	서리여왕	158440	5063	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
76	세이렌룩	158441	5064	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
77	슬로스	158442	5065	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
78	세이렌비숍	158443	5066	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
79	세이렌폰	158444	5067	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
//신규 펫 에테리아 추가																																																																																																
80	열정의펫	158446	5068	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	100	32	1	3	0	0	0	100	100	47	2	200	48	2	200	45	5	150																											
81	행운의펫	158447	5069	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	50	44	5	100	0	0	0	100	100	31	5	200	32	1	5	45	5	150																											
82	골렘_2010크리스마스	158183	5012	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	100	0	0	0	0	0	0	100	100	31	5	150	54	1	1	0	0	0																											
83	미니칼버스_스킨	158460	5068	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	47	2	50	48	2	50	0	0	0	100	100	47	2	100	48	2	100	45	5	100																											
84	고통스러운칼버스의불완전한영혼_에테리아	158461	5068	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	47	2	30	0	0	0	0	0	0	100	100	47	2	70	45	5	100	0	0	0																											
85	절망하는칼버스의불완전한영혼_에테리아	158462	5068	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	35	1	10	0	0	0	0	0	0	100	100	35	1	15	45	5	100	0	0	0																											
86	격노하는칼버스의불완전한영혼_에테리아	158463	5068	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	30	0	0	0	0	0	0	100	100	30	1	70	45	5	100	0	0	0																											
87	정화된칼버스의영혼_에테리아	158464	5068	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	47	2	30	48	2	50	30	1	30	100	100	47	2	70	48	2	100	45	5	100																											
88	아르도르원정대펭귄	158467	5047	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
89	타락한꼬마악마_스킨	45601	5069	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
//2011할로윈이벤트 펫(스킨+에테리아)추가																																																																																																
90	할로윈유령	158448	5011	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	31	5	50	45	5	100	0	0	0																											
//일본 1103 복권용 신규 팻																																																																																																
91	회전햄스터(일본1103복권팻)	155598	5072	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	5	20	0	0	0	0	0	0	100	100	42	2	150	0	0	0	0	0	0																											
92	항아리여우(일본1103복권팻)	155599	5060	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	14	2	200	0	0	0	0	0	0	100	100	41	1	7	0	0	0	0	0	0																											
93	드래곤(일본1103복권팻)	155600	5073	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	5	10	14	2	100	0	0	0	100	100	42	2	100	41	1	5	0	0	0																											
94	두기(일본1201팻)	155605	5074	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	2	100	0	0	0	0	0	0	100	100	32	1	5	0	0	0	0	0	0																											
95	루(일본1201팻)	155606	5075	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	15	1	5	0	0	0	0	0	0	100	100	31	1	5	0	0	0	0	0	0																											
96	두커	155607	5076	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
97	붉은용	155608	5077	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	100	0	0	0	0	0	0	100	100	15	1	5	0	0	0	0	0	0																											
98	포포리코	155609	5078	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	32	1	5	0	0	0	0	0	0	100	100	44	5	200	0	0	0	0	0	0																											
99	초비	155610	5079	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	44	5	50	0	0	0	0	0	0	100	100	15	1	5	0	0	0	0	0	0																											
100	아브라하	155615	5080	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	45	5	50	0	0	0	0	0	0	100	100	41	1	5	0	0	0	0	0	0																											
101	샤포리	155616	5081	0	3	2	10	3	0	10	0	31	1	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
102	검정버찌드래곤	158449	5082	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	41	1	5	0	0	0	0	0	0																											
103	희귀한검정버찌드래곤	158459	5083	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	100	42	2	50	0	0	0	100	100	60	1	10	45	5	150	31	5	150																											
104	꼬꼬마눈사람(이벤트)	158902	5084	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
105	행운의펫	159974	5094	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	100	44	5	100	0	0	0	100	100	31	5	100	32	1	5	45	5	100																											
//팻 랭크업(301~500)																																																																																																
//1차(301~400)																																																																																																
301	시베리안허스키	158184	5013	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	50	0	0	0	0	0	0	100	100	30	1	70	0	0	0	0	0	0																											
302	검은날개박쥐	158181	5010	0	3	2	10	3	0	10	0	0	1	1	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	35	1	15	0	0	0	0	0	0	100	100	35	1	20	0	0	0	0	0	0																											
303	자이언트팬더	158208	5028	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	70	0	0	0	0	0	0	100	100	51	2	75	0	0	0	0	0	0																											
304	백호	158247	5046	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	50	0	0	0	0	0	0	100	100	30	1	100	0	0	0	0	0	0																											
305	검정트링겔고양이	158174	5003	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	75	0	0	0	0	0	0	100	100	42	2	200	0	0	0	0	0	0																											
306	리자드맨	158195	5024	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	300	0	0	0	0	0	0	100	100	31	5	400	0	0	0	0	0	0																											
//2차(401~450)																																																																																																
401	도베르만	158185	5014	5	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	2	80	0	0	0	0	0	0	100	100	42	2	150	0	0	0	0	0	0																											
402	윌베리그독수리	158193	5022	5	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	14	1	5	0	0	0	0	0	0	100	100	14	1	10	0	0	0	0	0	0																											
//403	None	0	0	5	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	70	0	0	0	0	0	0	100	100	51	2	75	0	0	0	0	0	0																											
//3차(451~480)																																																																																																
//451	None	0	0	6	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	50	0	0	0	0	0	0	100	100	30	1	70	0	0	0	0	0	0																											
//452	None	0	0	6	3	2	10	3	0	10	0	0	1	1	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	35	1	15	0	0	0	0	0	0	100	100	35	1	20	0	0	0	0	0	0																											
//453	None	0	0	6	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	70	0	0	0	0	0	0	100	100	51	2	75	0	0	0	0	0	0																											
//4차(481~500)																																																																																																
//481	None	0	0	7	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	50	0	0	0	0	0	0	100	100	30	1	70	0	0	0	0	0	0																											
//482	None	0	0	7	3	2	10	3	0	10	0	0	1	1	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	35	1	15	0	0	0	0	0	0	100	100	35	1	20	0	0	0	0	0	0																											
//483	None	0	0	7	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	70	0	0	0	0	0	0	100	100	51	2	75	0	0	0	0	0	0																											
//중국펫업그레이드(501~600)																																																																																																
501	버찌드래곤_1	155601	5020	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	56	5	20	0	0	0	0	0	0	100	100	60	1	55	0	0	0	0	0	0																											
502	버찌드래곤_2	155602	5020	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	56	5	30	0	0	0	0	0	0	100	100	60	1	60	0	0	0	0	0	0																											
503	버찌드래곤_3	155603	5020	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	56	5	40	0	0	0	0	0	0	100	100	60	1	65	0	0	0	0	0	0																											
504	버찌드래곤_4	155604	5020	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	56	5	80	0	0	0	0	0	0	100	100	60	1	80	0	0	0	0	0	0																											
505	헬하운드_1	155611	5036	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	61	1	5	0	0	0	0	0	0	100	100	31	5	180	0	0	0	0	0	0																											
506	헬하운드_2	155612	5036	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	61	1	6	0	0	0	0	0	0	100	100	31	5	200	0	0	0	0	0	0																											
507	헬하운드_3	155613	5036	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	61	1	6	0	0	0	0	0	0	100	100	31	5	250	0	0	0	0	0	0																											
508	헬하운드_4	155614	5036	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	61	1	7	0	0	0	0	0	0	100	100	31	5	300	0	0	0	0	0	0																											
509	펜더(중국_질주의팬더)_1	155621	5030	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	32	1	8	0	0	0	0	0	0	100	100	28	2	220	1	1	26	0	0	0																											
510	펜더(중국_질주의팬더)_2	155622	5030	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	32	1	10	0	0	0	0	0	0	100	100	28	2	250	1	1	27	0	0	0																											
511	펜더(중국_질주의팬더)_3	155623	5030	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	32	1	15	0	0	0	0	0	0	100	100	28	2	270	1	1	28	0	0	0																											
512	펜더(중국_질주의팬더)_4	155624	5030	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	32	1	20	0	0	0	0	0	0	100	100	28	2	300	1	1	30	0	0	0																											
513	복어_1	155631	5021	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	2	120	0	0	0	0	0	0	100	100	52	5	310	0	0	0	0	0	0																											
514	복어_2	155632	5021	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	2	150	0	0	0	0	0	0	100	100	52	5	320	0	0	0	0	0	0																											
515	복어_3	155633	5021	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	2	150	0	0	0	0	0	0	100	100	52	5	330	0	0	0	0	0	0																											
516	복어_4	155634	5021	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	2	200	0	0	0	0	0	0	100	100	52	5	400	0	0	0	0	0	0																											
517	리자드맨_1	155641	5024	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	80	0	0	0	0	0	0	100	100	31	5	230	0	0	0	0	0	0																											
518	리자드맨_2	155642	5024	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	100	0	0	0	0	0	0	100	100	31	5	250	0	0	0	0	0	0																											
519	리자드맨_3	155643	5024	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	150	0	0	0	0	0	0	100	100	31	5	280	0	0	0	0	0	0																											
520	리자드맨_4	155644	5024	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	200	0	0	0	0	0	0	100	100	31	5	350	0	0	0	0	0	0																											
521	팽귄_1	155651	5019	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	50	1	100	0	0	0	0	0	0	100	100	50	1	320	0	0	0	0	0	0																											
522	팽귄_2	155652	5019	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	50	1	120	0	0	0	0	0	0	100	100	50	1	340	0	0	0	0	0	0																											
523	팽귄_3	155653	5019	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	50	1	140	0	0	0	0	0	0	100	100	50	1	360	0	0	0	0	0	0																											
524	팽귄_4	155654	5019	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	50	1	200	0	0	0	0	0	0	100	100	50	1	400	0	0	0	0	0	0																											
525	슈퍼고스트(중국한정판매용)_1	155661	5011	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	1	620	1	2	110	0	0	0	100	100	24	1	31	0	0	0	0	0	0																											
526	슈퍼고스트(중국한정판매용)_2	155662	5011	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	1	630	1	2	120	0	0	0	100	100	24	1	32	0	0	0	0	0	0																											
527	슈퍼고스트(중국한정판매용)_3	155663	5011	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	1	640	1	2	130	0	0	0	100	100	24	1	33	0	0	0	0	0	0																											
528	슈퍼고스트(중국한정판매용)_4	155664	5011	0	3	2	10	3	0	10	0	31	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	1	700	1	2	150	0	0	0	100	100	24	1	35	0	0	0	0	0	0																											
529	슈퍼도베르만(중국한정판매용)_1	155671	5014	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	2	110	0	0	0	0	0	0	100	100	42	1	51	0	0	0	0	0	0																											
530	슈퍼도베르만(중국한정판매용)_2	155672	5014	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	2	120	0	0	0	0	0	0	100	100	42	1	52	0	0	0	0	0	0																											
531	슈퍼도베르만(중국한정판매용)_3	155673	5014	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	2	130	0	0	0	0	0	0	100	100	42	1	53	0	0	0	0	0	0																											
532	슈퍼도베르만(중국한정판매용)_4	155674	5014	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	2	150	0	0	0	0	0	0	100	100	42	1	55	0	0	0	0	0	0																											
533	에텔레인오색나비_1	155681	5017	0	3	2	10	3	0	10	0	31	1	1	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	35	1	17	0	0	0	0	0	0	100	100	35	1	27	0	0	0	0	0	0																											
