//조합스크립트						아이템타입	분류카운터						클래스스트링코드																																					
//			"* Index(조합코드) 수정하셔도 상관 없으니, 가능한 카테고리 유지하면서 작업해 주세요"										10074 : 버서커																																					
//													10075 : 드래곤																																					
//			* 클래스 우선순위 지켜주세요										10076 : 발키리																																					
//			"  - 버서커, 드래곤, 발키리, 엘리, 섀도우, 미스틱 순"										10077 : 엘리																																					
//			* 방어구 우선순위 지켜주세요										10078 : 섀도우																																					
//			"  - 갑옷, 바지, 헬멧, 장갑, 부츠, 프텍, 벨트, 셔츠 순"										10002 : 미스틱																																					
//			"  - 갑옷, 바지, 헬멧, 장갑, 부츠, 프텍, 벨트, 셔츠 순"										10006 : 헬로이드																																					
//							1302			1302	1302	1302	1302	1302	1302																																			
//설명	조합코드	이름	네임코드	캐릭터클래스	길드클래스	아이템타입	분류카운터	분류카테고리1	분류스트링코드1	분류카테고리2	분류스트링코드2	분류카테고리3	분류스트링코드3	분류카테고리4	분류스트링코드4	재료1	재료1등급	재료1개수	재료2	재료2등급	재료2개수	재료3	재료3등급	재료3개수	재료4	재료4등급	재료4개수	재료5	재료5등급	재료5개수	재료6	재료6등급	재료6개수	소모돈	성공확율	보상타입	보상아이템	보상아이템등급	보상아이템수	조합가능맵1	조합가능맵2	조합가능맵3	조합가능맵4	조합가능맵5	조합가능맵6	조합가능맵7	조합가능맵8	조합가능맵9	조합가능맵10	
	Code	Name	Ncode	LimitCharClass	LimitGuildClass	ItemType	CategorySubCount	bCategory1	Category1_Scode	bCategory2	Category2_Scode	bCategory3	Category3_Scode	bCategory4	Category4_Scode	MaterialCode1	IGType1	MaterialCount1	MaterialCode2	IGType2	MaterialCount2	MaterialCode3	IGType3	MaterialCount3	MaterialCode4	IGType4	MaterialCount4	MaterialCode5	IGType5	MaterialCount5	MaterialCode6	IGType6	MaterialCount6	Money	SuccessRatio	bResultType	ResultItemCode	ResultIGType	ResultItemCount	AllowedMapCode00	AllowedMapCode01	AllowedMapCode02	AllowedMapCode03	AllowedMapCode04	AllowedMapCode05	AllowedMapCode06	AllowedMapCode07	AllowedMapCode08	AllowedMapCode09	FieldEnd
	625	팬텀실루엣_섀_암흑	40537	0	0	888	4	12	9442	2	9141	5	10078	5	40537	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3085	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	626	크림슨트리거_미_불	40633	0	0	892	4	12	9442	2	9141	6	10002	1	40633	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3199	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	627	크림슨트리거_미_물	40634	0	0	892	4	12	9442	2	9141	6	10002	2	40634	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3227	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	628	크림슨트리거_미_바람	40635	0	0	892	4	12	9442	2	9141	6	10002	3	40635	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3228	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	629	크림슨트리거_미_대지	40636	0	0	892	4	12	9442	2	9141	6	10002	4	40636	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3229	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	630	크림슨트리거_미_암흑	40637	0	0	892	4	12	9442	2	9141	6	10002	5	40637	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3230	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	631	솔리드암_헬_불	41567	0	0	902	4	12	9442	2	9141	7	10006	1	41567	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3297	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	632	솔리드암_헬_물	41568	0	0	902	4	12	9442	2	9141	7	10006	2	41568	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3298	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	633	솔리드암_헬_바람	41569	0	0	902	4	12	9442	2	9141	7	10006	3	41569	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3299	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	634	솔리드암_헬_대지	41570	0	0	902	4	12	9442	2	9141	7	10006	4	41570	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3300	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	635	솔리드암_헬_암흑	41571	0	0	902	4	12	9442	2	9141	7	10006	5	41571	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3469	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	636	프로스트네일_위_불	41582	0	0	902	4	12	9442	2	9141	8	10008	1	41582	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3310	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	637	프로스트네일_위_물	41583	0	0	902	4	12	9442	2	9141	8	10008	2	41583	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3311	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	638	프로스트네일_위_바람	41584	0	0	902	4	12	9442	2	9141	8	10008	3	41584	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3312	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	639	프로스트네일_위_대지	41585	0	0	902	4	12	9442	2	9141	8	10008	4	41585	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3313	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	640	프로스트네일_위_암흑	41586	0	0	902	4	12	9442	2	9141	8	10008	5	41586	7252	0	5	7248	0	3	6030	0	1	0	0	0	0	0	0	0	0	0	0 	100	1	3314	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//12-3 칼버스의 엘리트 액세서리 (701~800)																																																		
	701	폭한의기간트암	9243	0	0	881	4	12	9442	3	9190	1	10074	1	9243	3036	0	1	40232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3118	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	702	폭한의기간트암	9244	0	0	881	4	12	9442	3	9190	1	10074	2	9244	3037	0	1	40232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3118	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	703	폭한의기간트암	9245	0	0	881	4	12	9442	3	9190	1	10074	3	9245	3038	0	1	40232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3118	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	704	폭한의기간트암	9246	0	0	881	4	12	9442	3	9190	1	10074	4	9246	3039	0	1	40232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3118	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	705	폭한의기간트암	9247	0	0	881	4	12	9442	3	9190	1	10074	5	9247	3040	0	1	40232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3118	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	706	심연의드라고닉크로우	9248	0	0	882	4	12	9442	3	9190	2	10075	1	9248	3041	0	1	40233	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3119	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	707	심연의드라고닉크로우	9249	0	0	882	4	12	9442	3	9190	2	10075	2	9249	3042	0	1	40233	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3119	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	708	심연의드라고닉크로우	9250	0	0	882	4	12	9442	3	9190	2	10075	3	9250	3043	0	1	40233	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3119	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	709	심연의드라고닉크로우	9251	0	0	882	4	12	9442	3	9190	2	10075	4	9251	3044	0	1	40233	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3119	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	710	심연의드라고닉크로우	9252	0	0	882	4	12	9442	3	9190	2	10075	5	9252	3045	0	1	40233	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3119	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	711	통곡의헬론크래셔	9253	0	0	883	4	12	9442	3	9190	3	10076	1	9253	3046	0	1	40234	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3120	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	712	통곡의헬론크래셔	9254	0	0	883	4	12	9442	3	9190	3	10076	2	9254	3047	0	1	40234	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3120	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	713	통곡의헬론크래셔	9255	0	0	883	4	12	9442	3	9190	3	10076	3	9255	3048	0	1	40234	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3120	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	714	통곡의헬론크래셔	9256	0	0	883	4	12	9442	3	9190	3	10076	4	9256	3049	0	1	40234	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3120	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	715	통곡의헬론크래셔	9257	0	0	883	4	12	9442	3	9190	3	10076	5	9257	3050	0	1	40234	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3120	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	716	칠흑과파멸의엠펠러	9258	0	0	884	4	12	9442	3	9190	4	10077	1	9258	3051	0	1	40235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3121	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	717	칠흑과파멸의엠펠러	9259	0	0	884	4	12	9442	3	9190	4	10077	2	9259	3052	0	1	40235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3121	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	718	칠흑과파멸의엠펠러	9260	0	0	884	4	12	9442	3	9190	4	10077	3	9260	3053	0	1	40235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3121	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	719	칠흑과파멸의엠펠러	9261	0	0	884	4	12	9442	3	9190	4	10077	4	9261	3054	0	1	40235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3121	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	720	칠흑과파멸의엠펠러	9262	0	0	884	4	12	9442	3	9190	4	10077	5	9262	3055	0	1	40235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3121	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	721	심판의팬텀실루엣	9263	0	0	888	4	12	9442	3	9190	5	10078	1	9263	3081	0	1	40236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3122	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	722	심판의팬텀실루엣	9264	0	0	888	4	12	9442	3	9190	5	10078	2	9264	3082	0	1	40236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3122	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	723	심판의팬텀실루엣	9265	0	0	888	4	12	9442	3	9190	5	10078	3	9265	3083	0	1	40236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3122	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	724	심판의팬텀실루엣	9266	0	0	888	4	12	9442	3	9190	5	10078	4	9266	3084	0	1	40236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3122	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	725	심판의팬텀실루엣	9267	0	0	888	4	12	9442	3	9190	5	10078	5	9267	3085	0	1	40236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3122	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	726	현혹의크림슨트리거	9106	0	0	892	4	12	9442	3	9190	6	10002	1	9106	3199	0	1	41510	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3231	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	727	현혹의크림슨트리거	9107	0	0	892	4	12	9442	3	9190	6	10002	2	9107	3227	0	1	41510	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3231	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	728	현혹의크림슨트리거	9108	0	0	892	4	12	9442	3	9190	6	10002	3	9108	3228	0	1	41510	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3231	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	729	현혹의크림슨트리거	9109	0	0	892	4	12	9442	3	9190	6	10002	4	9109	3229	0	1	41510	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3231	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	730	현혹의크림슨트리거	9110	0	0	892	4	12	9442	3	9190	6	10002	5	9110	3230	0	1	41510	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3231	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	731	인내의솔리드암	10105	0	0	902	4	12	9442	3	9190	7	10006	1	10105	3297	0	1	41589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3470	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	732	인내의솔리드암	10106	0	0	902	4	12	9442	3	9190	7	10006	2	10106	3298	0	1	41589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3470	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	733	인내의솔리드암	10107	0	0	902	4	12	9442	3	9190	7	10006	3	10107	3299	0	1	41589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3470	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	734	인내의솔리드암	10108	0	0	902	4	12	9442	3	9190	7	10006	4	10108	3300	0	1	41589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3470	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	735	인내의솔리드암	10109	0	0	902	4	12	9442	3	9190	7	10006	5	10109	3469	0	1	41589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3470	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	736	유혹의프로스트네일	9710	0	0	902	4	12	9442	3	9190	8	10008	1	9710	3310	0	1	6096	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3315	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	737	유혹의프로스트네일	9711	0	0	902	4	12	9442	3	9190	8	10008	2	9711	3311	0	1	6096	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3315	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	738	유혹의프로스트네일	9712	0	0	902	4	12	9442	3	9190	8	10008	3	9712	3312	0	1	6096	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3315	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	739	유혹의프로스트네일	9713	0	0	902	4	12	9442	3	9190	8	10008	4	9713	3313	0	1	6096	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3315	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	740	유혹의프로스트네일	9714	0	0	902	4	12	9442	3	9190	8	10008	5	9714	3314	0	1	6096	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20000000	100	1	3315	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//12-4 뒤틀린 칼버스의 악세서리 (801~900)																																																		
	801	검게뒤틀린매의기간트암	9356	0	0	881	4	12	9442	4	40620	1	10074	1	9356	3118	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3167	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	802	검게뒤틀린맹공의기간트암	9357	0	0	881	4	12	9442	4	40620	1	10074	2	9357	3118	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3168	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	803	검게뒤틀린결의의기간트암	9358	0	0	881	4	12	9442	4	40620	1	10074	3	9358	3118	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3169	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	804	검게뒤틀린수호의기간트암	9359	0	0	881	4	12	9442	4	40620	1	10074	4	9359	3118	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3170	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	805	검게뒤틀린매의드라고닉크로우	9360	0	0	882	4	12	9442	4	40620	2	10075	1	9360	3119	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3171	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	806	검게뒤틀린맹공의드라고닉크로우	9361	0	0	882	4	12	9442	4	40620	2	10075	2	9361	3119	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3172	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	807	검게뒤틀린결의의드라고닉크로우	9362	0	0	882	4	12	9442	4	40620	2	10075	3	9362	3119	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3173	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	808	검게뒤틀린수호의드라고닉크로우	9363	0	0	882	4	12	9442	4	40620	2	10075	4	9363	3119	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3174	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	809	검게뒤틀린매의헬론크래셔	9364	0	0	883	4	12	9442	4	40620	3	10076	1	9364	3120	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3175	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	810	검게뒤틀린맹공의헬론크래셔	9365	0	0	883	4	12	9442	4	40620	3	10076	2	9365	3120	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3176	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	811	검게뒤틀린결의의헬론크래셔	9366	0	0	883	4	12	9442	4	40620	3	10076	3	9366	3120	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3177	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	812	검게뒤틀린수호의헬론크래셔	9367	0	0	883	4	12	9442	4	40620	3	10076	4	9367	3120	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3178	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	813	검게뒤틀린매의파멸의엠페러	9368	0	0	884	4	12	9442	4	40620	4	10077	1	9368	3121	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3179	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	814	검게뒤틀린맹공의파멸의엠페러	9369	0	0	884	4	12	9442	4	40620	4	10077	2	9369	3121	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3180	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	815	검게뒤틀린결의의파멸의엠페러	9370	0	0	884	4	12	9442	4	40620	4	10077	3	9370	3121	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3181	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	816	검게뒤틀린수호의파멸의엠페러	9371	0	0	884	4	12	9442	4	40620	4	10077	4	9371	3121	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3182	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	817	검게뒤틀린매의팬텀실루엣	9372	0	0	888	4	12	9442	4	40620	5	10078	1	9372	3122	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3183	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	818	검게뒤틀린맹공의팬텀실루엣	9373	0	0	888	4	12	9442	4	40620	5	10078	2	9373	3122	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3184	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	819	검게뒤틀린결의의팬텀실루엣	9374	0	0	888	4	12	9442	4	40620	5	10078	3	9374	3122	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3185	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	820	검게뒤틀린수호의팬텀실루엣	9375	0	0	888	4	12	9442	4	40620	5	10078	4	9375	3122	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3186	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	821	검게뒤틀린매의크림슨트리거	40639	0	0	892	4	12	9442	4	40620	6	10002	1	40639	3231	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3235	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	822	검게뒤틀린맹공의크림슨트리거	40640	0	0	892	4	12	9442	4	40620	6	10002	2	40640	3231	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3236	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	823	검게뒤틀린결의의크림슨트리거	40641	0	0	892	4	12	9442	4	40620	6	10002	3	40641	3231	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3237	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	824	검게뒤틀린수호의크림슨트리거	40642	0	0	892	4	12	9442	4	40620	6	10002	4	40642	3231	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3238	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	825	검게뒤틀린매의솔리드암	41577	0	0	901	4	12	9442	4	40620	7	10006	1	41577	3470	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3474	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	826	검게뒤틀린맹공의솔리드암	41578	0	0	901	4	12	9442	4	40620	7	10006	2	41578	3470	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3475	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	827	검게뒤틀린결의의솔리드암	41579	0	0	901	4	12	9442	4	40620	7	10006	3	41579	3470	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3476	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	828	검게뒤틀린수호의솔리드암	41580	0	0	901	4	12	9442	4	40620	7	10006	4	41580	3470	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3477	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	829	검게뒤틀린매의프로스트네일	41592	0	0	901	4	12	9442	4	40620	8	10008	1	41592	3315	0	1	6078	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3799	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	830	검게뒤틀린맹공의프로스트네일	41593	0	0	901	4	12	9442	4	40620	8	10008	2	41593	3315	0	1	6081	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3800	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	831	검게뒤틀린결의의프로스트네일	41594	0	0	901	4	12	9442	4	40620	8	10008	3	41594	3315	0	1	6080	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3801	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	832	검게뒤틀린수호의프로스트네일	41595	0	0	901	4	12	9442	4	40620	8	10008	4	41595	3315	0	1	6079	0	30	0	0	0	0	0	0	0	0	0	0	0	0	100000000	100	1	3802	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	880	저주받은탑_수련의목걸이	302386	0	0	821	3	11	9054	2	9559	3	302386	0	0	40564	0	5	40565	0	5	40566	0	5	40567	0	5	40568	0	5	0	0	0	20000000	10	1	41179	0	1	10001	10002	10003	10004	10006	20206	10007	10008	0	0	
	883	저주받은탑_빛이어린수련의목걸이	302387	0	0	821	3	11	9054	2	9559	4	302387	0	0	41179	0	1	41176	0	5	0	0	0	0	0	0	0	0	0	0	0	0	30000000	5	1	41180	0	1	10001	10002	10003	10004	10006	20206	10007	10008	0	0	
	884	저주받은탑_빛이어린사제의반지	302384	0	0	811	3	11	9054	2	9559	5	302384	0	0	40574	0	1	41176	0	5	0	0	0	0	0	0	0	0	0	0	0	0	30000000	3	1	41177	0	1	10001	10002	10003	10004	10006	20206	10007	10008	0	0	
	885	저주받은탑_빛이어린정복자의반지	302385	0	0	811	3	11	9054	2	9559	6	302385	0	0	40575	0	1	41176	0	5	0	0	0	0	0	0	0	0	0	0	0	0	30000000	3	1	41178	0	1	10001	10002	10003	10004	10006	20206	10007	10008	0	0	
//12-5 검은현자의 수정 악세서리 (901~1000)																																																		
	901	치명적인검은현자의수정기간트암	10665	0	0	881	4	12	9442	5	40898	1	10074	1	10665	3167	0	1	5287	0	30	0	0	0	0	0	0	0	0	0	0	0	0	150000000	100	1	15000	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	902	몰아치는검은현자의수정기간트암	10666	0	0	881	4	12	9442	5	40898	1	10074	2	10666	3168	0	1	5287	0	30	0	0	0	0	0	0	0	0	0	0	0	0	150000000	100	1	15001	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	903	굳건한검은현자의수정기간트암	10667	0	0	881	4	12	9442	5	40898	1	10074	3	10667	3169	0	1	5287	0	30	0	0	0	0	0	0	0	0	0	0	0	0	150000000	100	1	15002	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	904	단단한검은현자의수정기간트암	10668	0	0	881	4	12	9442	5	40898	1	10074	4	10668	3170	0	1	5287	0	30	0	0	0	0	0	0	0	0	0	0	0	0	150000000	100	1	15003	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	905	치명적인검은현자의수정드라고닉크로우	10669	0	0	882	4	12	9442	5	40898	2	10075	1	10669	3171	0	1	5287	0	30	0	0	0	0	0	0	0	0	0	0	0	0	150000000	100	1	15004	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	906	몰아치는검은현자의수정드라고닉크로우	10670	0	0	882	4	12	9442	5	40898	2	10075	2	10670	3172	0	1	5287	0	30	0	0	0	0	0	0	0	0	0	0	0	0	150000000	100	1	15005	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
