//인터페이스 위치 설정 문서		b_X_ref_Type	1: 좌측정렬			2: 우측정렬	3: 가운데 정렬															
// 작성자 : 이영민		b_Y_ref_Type	1: 상단정렬			2: 하단정렬	3: 가운데정렬															
// 작성일자 : 오후 4:44 2008-08-13		w_offset_X	x축 기준점으로부터 떨어진값(1024*768기준)																			
//		w_Offset_Y	y축 기준점으로부터 떨어진값(1024*768기준)																			
//		Wide_w_offset_X	x축 기준점으로부터 떨어진값(1280*768기준)																			
//		Wide_w_offset_Y	y축 기준점으로부터 떨어진값(1280*768기준)																			
//Version																						
//1.0																						
																						
																						
//다이얼로그ID	인터페이스 파일명	X축정렬방식	x축offset값	와이드x축offset값	16:10와이드x축offset값	Y축정렬방식	y축offset값	와이드y축offset값	16:10와이드y축offset값	움직임여부				16:10								
230	23_QuickSlot.iwz	3	-379	-379	-379	2	-203	-203	-203	0	0	0	0	0	0	0	0	1	0		//	퀵슬롯
220	22_0_Party_Leader.iwz	1	0	0	0	1	100	100	100	0	0	0	0	0	0	0	0	1	0		//	파티 인터페이스(파티리더)
214	21_4_HP_pet.iwz	1	193	193	193	1	48	48	48	0	0	0	0	0	0	0	0	1	0		//	펫 상태바
212	21_2_clock.iwz	2	-163	-163	-163	1	176	176	176	0	0	0	0	0	0	0	0	1	0		//	시계 및 피로도 인터페이스
211	21_1_Level.iwz	1	-2	-2	-2	1	-3	-3	-3	0	0	0	0	0	0	0	0	1	0		//	HP의 레벨 및 아이콘 
210	21_HP.iwz	1	-2	-2	-2	1	-3	-3	-3	0	0	0	0	0	0	0	0	1	0		//	HP인터페이스
42	4_2_Character_Select.iwz	1	8	8	8	3	-277	-277	-277	0	0	0	0	0	0	0	0	1	0		//	캐릭터생성리뉴얼
41	4_1_Character_Select.iwz	3	-640	-640	-640	2	-95	-95	-95	1	300	-640	-640	-640	0	0	0	1	0		//	캐릭터 선택 하단 버튼
40	4_Character_Select.iwz	1	10	10	10	1	25	25	25	0	0	0	0	0	0	0	0	1	0		//	캐릭터 선택 글자
39	3_9_Character_Info.iwz	3	-285	-285	-285	1	94	94	94	0	0	0	0	0	0	0	0	1	0		//	캐릭터생성리뉴얼
37	3_7_Character_Custom.iwz	2	-505	-505	-505	1	2	2	2	0	0	0	0	0	0	0	0	1	0		//	캐릭터 외형변경 기반제작 창
36	3_6_Character_Create_Left	2	-333	-333	-333	3	-259	-259	-259	0	0	0	0	0	0	0	0	1	0		//	캐릭터생성리뉴얼
35	3_5_Character_Create_Left	2	-333	-333	-333	3	-259	-259	-259	0	0	0	0	0	0	0	0	1	0		//	캐릭터생성리뉴얼
34	3_4_Character_Rotate_Bottom.iwz	2	-261	-261	-261	3	237	237	237	0	0	0	0	0	0	0	0	1	0		//	캐릭터 생성회전 버튼(일본)
33	3_3_Character_Create_Bottom.iwz	3	-640	-640	-640	2	-95	-95	-95	1	300	-640	-640	-640	0	0	0	1	0		//	
32	3_2_Character_Create_Left.iwz	2	-298	-298	-298	1	100	100	100	0	0	0	0	0	0	0	0	1	0		//	
31	3_1_Character_Create_select.iwz	3	-640	-640	-640	2	-95	-95	-95	1	300	-640	-640	-640	0	0	0	1	0		//	캐릭터 선택창 취소버튼
23	2_3_Login_Window.iwz	3	-640	-640	-640	1	0	0	0	1	300	-640	-640	-640	-95	-95	-95	1	0		//	로그인 상단 제목표시 부분
22	2_2_Server_List_botton.iwz	3	85	85	85	3	-26	-26	-26	0	0	0	0	0	0	0	0	1	0		//	서버 리스트화면의 채널버튼
20	2_Server_List.iwz	3	-210	-210	-210	3	-28	-40	-40	0	0	0	0	0	0	0	0	1	0		//	서버 리스트 선택 창
14	1_4_Logo.iwz	3	-249	-249	-249	3	-303	-303	-303	0	0	0	0	0	0	0	0	1	0		//	썬로고
13	1_3_Login_15_year.iwz	2	-240	-240	-240	1	7	7	7	0	0	0	0	0	0	0	0	1	0		//	15세 이용가
12	1_2_Notice_Window.iwz	1	10	10	10	3	-65	-65	-65	0	0	0	0	0	0	0	0	1	0		//	로그인화면의 공지사항
11	1_1_Login_Window.iwz	3	-141	-141	-141	3	15	15	15	0	0	0	0	0	0	0	0	1	0		//	"로그인 ID, Password 입력부분"
10	1_Login_Window.iwz	3	-640	-640	-640	2	-95	-95	-95	1	300	-640	-640	-640	0	0	0	1	0		//	로그인 하단 가입하기/종료/버전 부분
